dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 01:45;4.8 Mbit/s;35.72 Mbit/s;< 1 ms;< 1 ms;5.28 Mbit/s;15.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 19:44;7.74 Mbit/s;28.85 Mbit/s;< 1 ms;< 1 ms;8.41 Mbit/s;16.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 16:44;7.13 Mbit/s;35.6 Mbit/s;< 1 ms;< 1 ms;7.73 Mbit/s;35.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:58;3.35 ms;null;false;
;;;;;;;;;;23/12/14 06:58;3.35 ms;null;false;
;;;;;;;;;;23/12/14 05:58;3.32 ms;null;false;
;;;;;;;;;;23/12/14 04:58;3.27 ms;null;false;
;;;;;;;;;;23/12/14 03:58;7.93 ms;null;false;
;;;;;;;;;;23/12/14 01:58;3.73 ms;null;false;
;;;;;;;;;;23/12/14 00:58;2.87 ms;null;false;
;;;;;;;;;;22/12/14 23:58;3.17 ms;null;false;
;;;;;;;;;;22/12/14 22:58;5.38 ms;null;false;
;;;;;;;;;;22/12/14 19:58;3.32 ms;null;false;
;;;;;;;;;;22/12/14 18:58;3.46 ms;null;false;
;;;;;;;;;;22/12/14 17:58;16.99 ms;null;false;
;;;;;;;;;;22/12/14 15:58;3.26 ms;null;false;
;;;;;;;;;;22/12/14 14:58;3.34 ms;null;false;
;;;;;;;;;;22/12/14 12:58;3.19 ms;null;false;
