dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/01/15 17:24;-;2.0 Mbit/s;1.21 ms;2.26 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/01/15 16:24;2.16 Mbit/s;1.46 Mbit/s;2.71 ms;2.2 ms;2.42 Mbit/s;1.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/01/15 15:24;1.8 Mbit/s;1.61 Mbit/s;2.2 ms;1.44 ms;2.17 Mbit/s;1.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/01/15 14:24;3.65 Mbit/s;1.91 Mbit/s;3.17 ms;1.61 ms;2.95 Mbit/s;1.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/01/15 11:24;2.79 Mbit/s;2.05 Mbit/s;2.44 ms;1.81 ms;3.49 Mbit/s;2.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/01/15 09:24;1.77 Mbit/s;1.76 Mbit/s;3.06 ms;1.93 ms;2.14 Mbit/s;1.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/01/15 08:24;1.23 Mbit/s;1.27 Mbit/s;1.35 ms;3.92 ms;-;1.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/01/15 04:24;1.53 Mbit/s;2.28 Mbit/s;1.63 ms;3.01 ms;1.77 Mbit/s;2.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/01/15 03:24;1.91 Mbit/s;1.43 Mbit/s;1.4 ms;2.77 ms;1.67 Mbit/s;1.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;01/01/15 17:38;17.69 ms;null;false;
;;;;;;;;;;01/01/15 15:38;4.64 ms;null;false;
;;;;;;;;;;01/01/15 11:38;4.04 ms;null;false;
;;;;;;;;;;01/01/15 04:38;4.77 ms;null;false;
;;;;;;;;;;01/01/15 03:38;6.08 ms;null;false;
;;;;;;;;;;01/01/15 02:38;10.17 ms;null;false;
;;;;;;;;;;01/01/15 01:38;10.2 ms;null;false;
