dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:24;5.87 Mbit/s;3.32 Mbit/s;1.11 ms;7.45 ms;6.27 Mbit/s;3.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:24;2.56 Mbit/s;2.38 Mbit/s;1.22 ms;4.73 ms;1.92 Mbit/s;2.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:24;1.95 Mbit/s;2.94 Mbit/s;1.38 ms;1.09 ms;2.09 Mbit/s;3.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:24;3.22 Mbit/s;3.26 Mbit/s;< 1 ms;2.05 ms;3.57 Mbit/s;3.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:24;3.0 Mbit/s;1.28 Mbit/s;3.96 ms;6.11 ms;3.4 Mbit/s;1.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 02:25;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:24;1.75 Mbit/s;1.48 Mbit/s;1.05 ms;2.06 ms;1.92 Mbit/s;1.6 Mbit/s;0.82 %;0.82 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:26;1.56 Mbit/s;833.14 kbit/s;28.59 ms;10.38 ms;1.69 Mbit/s;901.54 kbit/s;10.58 %;10.58 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 23:24;2.44 Mbit/s;1.86 Mbit/s;2.08 ms;1.39 ms;2.58 Mbit/s;1.25 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:25;3.62 Mbit/s;2.62 Mbit/s;1.08 ms;8.19 ms;4.02 Mbit/s;2.54 Mbit/s;64.63 %;64.63 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:24;2.06 Mbit/s;483.91 kbit/s;< 1 ms;8.43 ms;2.26 Mbit/s;317.23 kbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:24;4.28 Mbit/s;2.29 Mbit/s;5.2 ms;1.76 ms;2.93 Mbit/s;2.46 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 19:24;3.64 Mbit/s;4.36 Mbit/s;1.56 ms;< 1 ms;4.34 Mbit/s;4.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 18:24;4.93 Mbit/s;3.44 Mbit/s;< 1 ms;1.08 ms;4.86 Mbit/s;3.68 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 17:24;4.31 Mbit/s;2.76 Mbit/s;3.4 ms;3.15 ms;2.89 Mbit/s;2.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 16:24;3.39 Mbit/s;3.07 Mbit/s;2.26 ms;1.31 ms;3.61 Mbit/s;961.8 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:26;359.1 kbit/s;1.2 Mbit/s;1.99 ms;3.25 ms;393.6 kbit/s;1.27 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 14:29;3.21 Mbit/s;1.17 Mbit/s;5.99 ms;6.56 ms;1.34 Mbit/s;943.19 kbit/s;2.54 %;2.54 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
