dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
22/01/15 20:49;28.96 Mbit/s;28.4 Mbit/s;3.12 ms;2.22 ms;-;28.39 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/01/15 08:49;1.63 Mbit/s;26.26 Mbit/s;13.17 ms;17.0 ms;1.74 Mbit/s;23.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/01/15 02:49;17.88 Mbit/s;31.79 Mbit/s;< 1 ms;1.04 ms;1.75 kbit/s;33.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 23:49;15.15 Mbit/s;36.54 Mbit/s;< 1 ms;< 1 ms;-;24.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 20:49;25.91 Mbit/s;31.84 Mbit/s;< 1 ms;1.65 ms;-;31.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 14:49;15.28 Mbit/s;29.55 Mbit/s;< 1 ms;< 1 ms;23.87 Mbit/s;24.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 14:35;29.42 Mbit/s;32.49 Mbit/s;< 1 ms;9.53 ms;-;29.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;23/01/15 00:03;3.52 ms;null;false;
;;;;;;;;;;22/01/15 23:03;3.57 ms;null;false;
;;;;;;;;;;22/01/15 22:03;5.42 ms;null;false;
;;;;;;;;;;22/01/15 21:03;3.65 ms;null;false;
;;;;;;;;;;22/01/15 19:03;3.2 ms;null;false;
;;;;;;;;;;22/01/15 18:03;3.12 ms;null;false;
;;;;;;;;;;22/01/15 17:03;4.86 ms;null;false;
;;;;;;;;;;22/01/15 16:03;152.13 ms;null;false;
;;;;;;;;;;22/01/15 13:03;10.73 ms;null;false;
;;;;;;;;;;22/01/15 12:03;52.9 ms;null;false;
;;;;;;;;;;22/01/15 11:03;3.54 ms;null;false;
;;;;;;;;;;22/01/15 09:03;3.72 ms;null;false;
;;;;;;;;;;22/01/15 08:03;5.15 ms;null;false;
;;;;;;;;;;22/01/15 07:03;8.65 ms;null;false;
;;;;;;;;;;22/01/15 06:03;2.46 ms;null;false;
;;;;;;;;;;22/01/15 05:03;4.14 ms;null;false;
;;;;;;;;;;22/01/15 04:03;5.5 ms;null;false;
;;;;;;;;;;22/01/15 02:03;3.66 ms;null;false;
;;;;;;;;;;22/01/15 01:03;5.84 ms;null;false;
;;;;;;;;;;21/01/15 23:03;3.68 ms;null;false;
;;;;;;;;;;21/01/15 22:03;15.13 ms;null;false;
;;;;;;;;;;21/01/15 21:03;7.68 ms;null;false;
;;;;;;;;;;21/01/15 18:03;9.56 ms;null;false;
;;;;;;;;;;21/01/15 16:03;193.56 ms;null;false;
