dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
13/01/15 23:38;185.34 kbit/s;766.33 kbit/s;114.4 ms;11.68 ms;213.82 kbit/s;807.89 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/01/15 22:38;10.69 Mbit/s;10.86 Mbit/s;1.17 ms;< 1 ms;12.25 Mbit/s;11.66 Mbit/s;0.69 %;0.69 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/01/15 21:38;9.5 Mbit/s;6.92 Mbit/s;6.21 ms;1.39 ms;11.03 Mbit/s;6.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 20:38;8.04 Mbit/s;5.63 Mbit/s;1.01 ms;3.02 ms;9.21 Mbit/s;4.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/01/15 19:38;11.59 Mbit/s;9.27 Mbit/s;4.55 ms;11.16 ms;8.87 Mbit/s;9.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/01/15 15:37;6.87 Mbit/s;4.75 Mbit/s;38.63 ms;32.72 ms;3.16 Mbit/s;666.53 kbit/s;1.22 %;1.22 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/01/15 13:37;6.38 Mbit/s;5.3 Mbit/s;8.02 ms;11.9 ms;7.71 Mbit/s;4.69 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/01/15 12:37;3.8 Mbit/s;1.35 Mbit/s;8.96 ms;8.85 ms;5.0 Mbit/s;1.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 11:37;9.81 Mbit/s;7.31 Mbit/s;2.49 ms;19.01 ms;12.3 Mbit/s;7.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/01/15 10:37;6.97 Mbit/s;5.13 Mbit/s;2.73 ms;4.1 ms;2.48 Mbit/s;5.39 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/01/15 09:37;5.54 Mbit/s;4.29 Mbit/s;< 1 ms;4.46 ms;6.97 Mbit/s;4.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 08:37;2.62 Mbit/s;9.29 Mbit/s;1.59 ms;2.63 ms;2.44 Mbit/s;8.89 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/01/15 07:37;7.37 Mbit/s;3.41 Mbit/s;4.34 ms;14.73 ms;1.86 Mbit/s;3.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/01/15 06:38;2.27 Mbit/s;7.96 Mbit/s;< 1 ms;1.59 ms;2.34 Mbit/s;8.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/01/15 05:38;10.65 Mbit/s;10.06 Mbit/s;9.17 ms;1.93 ms;11.33 Mbit/s;10.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/01/15 04:37;2.76 Mbit/s;10.28 Mbit/s;< 1 ms;2.34 ms;1.98 Mbit/s;10.5 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/01/15 03:38;-;-;-;4.23 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 02:37;12.49 Mbit/s;12.75 Mbit/s;1.26 ms;1.79 ms;14.66 Mbit/s;13.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/01/15 01:37;6.35 Mbit/s;1.73 Mbit/s;4.56 ms;2.68 ms;7.64 Mbit/s;1.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/01/15 00:37;12.49 Mbit/s;10.36 Mbit/s;1.46 ms;1.8 ms;15.16 Mbit/s;9.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/01/15 23:37;10.61 Mbit/s;7.04 Mbit/s;26.78 ms;3.8 ms;2.37 Mbit/s;7.49 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 22:38;10.81 Mbit/s;12.14 Mbit/s;< 1 ms;< 1 ms;2.42 Mbit/s;10.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 21:37;11.0 Mbit/s;9.57 Mbit/s;5.73 ms;16.37 ms;13.0 Mbit/s;10.41 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/01/15 20:37;9.32 Mbit/s;9.45 Mbit/s;42.53 ms;24.08 ms;2.26 Mbit/s;9.96 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 19:37;9.81 Mbit/s;8.13 Mbit/s;1.8 ms;4.87 ms;11.0 Mbit/s;7.88 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 18:37;10.87 Mbit/s;5.85 Mbit/s;2.52 ms;6.74 ms;11.84 Mbit/s;2.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
12/01/15 16:38;8.82 Mbit/s;3.18 Mbit/s;18.59 ms;36.47 ms;7.3 Mbit/s;3.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
12/01/15 15:38;7.62 Mbit/s;6.29 Mbit/s;1.27 ms;2.83 ms;9.1 Mbit/s;5.13 Mbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 14:38;7.2 Mbit/s;3.75 Mbit/s;3.78 ms;2.66 ms;8.54 Mbit/s;3.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
