dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:37;12.51 Mbit/s;10.53 Mbit/s;1.82 ms;6.88 ms;14.23 Mbit/s;11.3 Mbit/s;380.65 %;380.65 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:37;12.71 Mbit/s;8.26 Mbit/s;9.91 ms;11.77 ms;12.78 Mbit/s;2.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 05:37;12.39 Mbit/s;14.47 Mbit/s;5.76 ms;1.68 ms;14.61 Mbit/s;15.49 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:37;14.85 Mbit/s;14.75 Mbit/s;1.28 ms;3.27 ms;17.01 Mbit/s;12.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:37;15.93 Mbit/s;13.29 Mbit/s;< 1 ms;2.84 ms;2.54 Mbit/s;6.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:37;15.17 Mbit/s;14.44 Mbit/s;< 1 ms;2.25 ms;15.72 Mbit/s;14.18 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:37;18.28 Mbit/s;17.93 Mbit/s;< 1 ms;< 1 ms;20.41 Mbit/s;17.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:37;13.32 Mbit/s;11.36 Mbit/s;1.09 ms;1.34 ms;15.14 Mbit/s;12.2 Mbit/s;0.68 %;0.68 %;PTT Metro de Campinas;;;;;
22/12/14 23:37;9.8 Mbit/s;6.71 Mbit/s;< 1 ms;6.64 ms;12.16 Mbit/s;7.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:37;8.64 Mbit/s;13.85 Mbit/s;< 1 ms;1.25 ms;10.22 Mbit/s;14.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 21:37;6.57 Mbit/s;8.71 Mbit/s;< 1 ms;3.3 ms;7.47 Mbit/s;9.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:37;-;-;-;-;-;-;50.0 %;50.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 19:37;10.95 Mbit/s;5.35 Mbit/s;23.76 ms;1.09 ms;12.7 Mbit/s;5.68 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 18:37;3.44 Mbit/s;13.36 Mbit/s;< 1 ms;3.7 ms;3.85 Mbit/s;12.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 17:37;11.74 Mbit/s;1.32 Mbit/s;< 1 ms;18.37 ms;13.47 Mbit/s;1.42 Mbit/s;4.32 %;4.32 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 16:37;7.19 Mbit/s;5.17 Mbit/s;11.52 ms;3.1 ms;7.4 Mbit/s;5.38 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 15:38;2.02 Mbit/s;2.58 Mbit/s;4.61 ms;17.89 ms;2.24 Mbit/s;2.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 14:37;2.98 Mbit/s;3.75 Mbit/s;3.61 ms;25.66 ms;2.48 Mbit/s;3.76 Mbit/s;10.48 %;10.48 %;PTT Metro de Campinas;;;;;
22/12/14 13:37;2.62 Mbit/s;1.63 Mbit/s;5.47 ms;13.56 ms;3.33 Mbit/s;1.26 Mbit/s;10.61 %;10.61 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:37;2.02 Mbit/s;2.17 Mbit/s;20.54 ms;14.44 ms;2.39 Mbit/s;2.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 11:37;6.85 Mbit/s;4.42 Mbit/s;14.97 ms;8.28 ms;7.91 Mbit/s;4.25 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 10:37;8.42 Mbit/s;5.66 Mbit/s;6.39 ms;14.27 ms;9.11 Mbit/s;6.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:37;2.61 Mbit/s;3.09 Mbit/s;3.3 ms;24.83 ms;2.13 Mbit/s;3.24 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 08:37;3.05 Mbit/s;5.73 Mbit/s;7.39 ms;3.8 ms;3.44 Mbit/s;5.94 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
;;;;;;;;;;23/12/14 07:57;17.14 ms;null;false;
;;;;;;;;;;23/12/14 07:52;3.57 ms;null;false;
;;;;;;;;;;23/12/14 07:42;4.72 ms;null;false;
;;;;;;;;;;23/12/14 07:32;3.48 ms;null;false;
;;;;;;;;;;23/12/14 07:27;171.29 ms;null;false;
;;;;;;;;;;23/12/14 07:22;4.93 ms;null;false;
;;;;;;;;;;23/12/14 07:17;4.95 ms;null;false;
;;;;;;;;;;23/12/14 07:12;5.41 ms;null;false;
;;;;;;;;;;23/12/14 07:07;3.29 ms;null;false;
;;;;;;;;;;23/12/14 07:02;7.04 ms;null;false;
;;;;;;;;;;23/12/14 06:57;5.65 ms;null;false;
;;;;;;;;;;23/12/14 06:52;242.23 ms;null;false;
;;;;;;;;;;23/12/14 06:47;13.16 ms;null;false;
;;;;;;;;;;23/12/14 06:42;5.52 ms;null;false;
;;;;;;;;;;23/12/14 06:37;7.33 ms;null;false;
;;;;;;;;;;23/12/14 06:32;119.19 ms;null;false;
;;;;;;;;;;23/12/14 06:27;3.54 ms;null;false;
;;;;;;;;;;23/12/14 06:22;4.09 ms;null;false;
;;;;;;;;;;23/12/14 06:17;5.0 ms;null;false;
;;;;;;;;;;23/12/14 06:12;3.74 ms;null;false;
;;;;;;;;;;23/12/14 06:07;8.55 ms;null;false;
;;;;;;;;;;23/12/14 06:02;4.72 ms;null;false;
;;;;;;;;;;23/12/14 05:57;19.6 ms;null;false;
;;;;;;;;;;23/12/14 05:52;2.76 ms;null;false;
;;;;;;;;;;23/12/14 05:47;159.88 ms;null;false;
;;;;;;;;;;23/12/14 05:42;1.95 ms;null;false;
;;;;;;;;;;23/12/14 05:37;100.22 ms;null;false;
;;;;;;;;;;23/12/14 05:32;112.02 ms;null;false;
;;;;;;;;;;23/12/14 05:27;2.38 ms;null;false;
;;;;;;;;;;23/12/14 05:22;3.82 ms;null;false;
;;;;;;;;;;23/12/14 05:17;8.88 ms;null;false;
;;;;;;;;;;23/12/14 05:12;12.44 ms;null;false;
;;;;;;;;;;23/12/14 05:07;194.4 ms;null;false;
;;;;;;;;;;23/12/14 05:02;20.3 ms;null;false;
;;;;;;;;;;23/12/14 04:57;2.78 ms;null;false;
;;;;;;;;;;23/12/14 04:52;25.39 ms;null;false;
;;;;;;;;;;23/12/14 04:47;5.2 ms;null;false;
;;;;;;;;;;23/12/14 04:42;3.1 ms;null;false;
;;;;;;;;;;23/12/14 04:37;3.79 ms;null;false;
;;;;;;;;;;23/12/14 04:32;40.7 ms;null;false;
;;;;;;;;;;23/12/14 04:27;3.93 ms;null;false;
;;;;;;;;;;23/12/14 04:22;2.84 ms;null;false;
;;;;;;;;;;23/12/14 04:17;3.27 ms;null;false;
;;;;;;;;;;23/12/14 04:12;4.02 ms;null;false;
;;;;;;;;;;23/12/14 04:07;8.77 ms;null;false;
;;;;;;;;;;23/12/14 04:02;8.09 ms;null;false;
;;;;;;;;;;23/12/14 03:57;4.0 ms;null;false;
;;;;;;;;;;23/12/14 03:52;6.12 ms;null;false;
;;;;;;;;;;23/12/14 03:47;2.64 ms;null;false;
;;;;;;;;;;23/12/14 03:42;2.84 ms;null;false;
;;;;;;;;;;23/12/14 03:37;2.74 ms;null;false;
;;;;;;;;;;23/12/14 03:32;2.72 ms;null;false;
;;;;;;;;;;23/12/14 03:27;13.7 ms;null;false;
;;;;;;;;;;23/12/14 03:22;4.73 ms;null;false;
;;;;;;;;;;23/12/14 03:17;2.73 ms;null;false;
;;;;;;;;;;23/12/14 03:12;3.37 ms;null;false;
;;;;;;;;;;23/12/14 03:07;54.13 ms;null;false;
;;;;;;;;;;23/12/14 03:02;3.62 ms;null;false;
;;;;;;;;;;23/12/14 02:57;3.15 ms;null;false;
;;;;;;;;;;23/12/14 02:52;3.24 ms;null;false;
;;;;;;;;;;23/12/14 02:47;10.4 ms;null;false;
;;;;;;;;;;23/12/14 02:42;54.89 ms;null;false;
