dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
16/01/15 21:30;15.5 Mbit/s;18.34 Mbit/s;2.75 ms;3.83 ms;10.44 Mbit/s;19.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
16/01/15 18:30;15.08 Mbit/s;19.74 Mbit/s;2.51 ms;< 1 ms;10.18 Mbit/s;20.63 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/01/15 15:30;13.15 Mbit/s;13.62 Mbit/s;26.18 ms;18.27 ms;10.92 Mbit/s;13.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/01/15 12:30;6.68 Mbit/s;17.24 Mbit/s;2.57 ms;19.58 ms;6.17 Mbit/s;17.56 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
16/01/15 09:30;3.34 Mbit/s;456.25 kbit/s;4.17 ms;4.54 ms;3.27 Mbit/s;461.1 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/01/15 06:30;17.14 Mbit/s;21.4 Mbit/s;14.92 ms;2.29 ms;15.29 Mbit/s;21.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/01/15 03:30;16.69 Mbit/s;19.09 Mbit/s;1.86 ms;1.44 ms;14.0 Mbit/s;19.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/01/15 00:30;16.71 Mbit/s;20.56 Mbit/s;36.62 ms;9.87 ms;9.41 Mbit/s;20.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
15/01/15 21:30;5.81 Mbit/s;11.51 Mbit/s;16.64 ms;30.53 ms;1.62 Mbit/s;11.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
15/01/15 18:30;11.15 Mbit/s;16.0 Mbit/s;7.75 ms;1.22 ms;6.91 Mbit/s;16.82 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
