dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:30;8.43 Mbit/s;19.31 Mbit/s;1.04 ms;2.42 ms;9.29 Mbit/s;20.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 03:30;16.04 Mbit/s;22.36 Mbit/s;< 1 ms;< 1 ms;15.61 Mbit/s;23.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:30;16.98 Mbit/s;22.09 Mbit/s;< 1 ms;1.68 ms;16.04 Mbit/s;23.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:30;14.43 Mbit/s;19.28 Mbit/s;< 1 ms;3.82 ms;12.01 Mbit/s;16.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 18:30;12.59 Mbit/s;21.3 Mbit/s;< 1 ms;1.24 ms;10.06 Mbit/s;19.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:30;17.38 Mbit/s;18.37 Mbit/s;15.34 ms;< 1 ms;15.3 Mbit/s;19.63 Mbit/s;1.35 %;1.35 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 12:30;14.87 Mbit/s;21.09 Mbit/s;1.43 ms;5.3 ms;10.44 Mbit/s;10.61 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 09:30;13.72 Mbit/s;21.34 Mbit/s;2.19 ms;26.0 ms;13.77 Mbit/s;13.22 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:44;3.69 ms;null;false;
;;;;;;;;;;23/12/14 06:44;55.16 ms;null;false;
;;;;;;;;;;23/12/14 05:44;5.69 ms;null;false;
;;;;;;;;;;23/12/14 04:44;1.37 ms;null;false;
;;;;;;;;;;23/12/14 03:44;2.01 ms;null;false;
;;;;;;;;;;23/12/14 02:44;1.79 ms;null;false;
;;;;;;;;;;23/12/14 01:44;1.35 ms;null;false;
;;;;;;;;;;23/12/14 00:44;1.09 ms;null;false;
;;;;;;;;;;23/12/14 00:44;1.09 ms;null;false;
;;;;;;;;;;22/12/14 23:44;1.16 ms;null;false;
;;;;;;;;;;22/12/14 22:44;36.9 ms;null;false;
;;;;;;;;;;22/12/14 21:44;36.91 ms;null;false;
;;;;;;;;;;22/12/14 20:44;1.97 ms;null;false;
;;;;;;;;;;22/12/14 19:44;1.98 ms;null;false;
;;;;;;;;;;22/12/14 18:44;62.99 ms;null;false;
;;;;;;;;;;22/12/14 17:44;1.1 ms;null;false;
;;;;;;;;;;22/12/14 16:44;6.28 ms;null;false;
;;;;;;;;;;22/12/14 15:44;1.09 ms;null;false;
;;;;;;;;;;22/12/14 14:44;1.05 ms;null;false;
;;;;;;;;;;22/12/14 13:44;46.13 ms;null;false;
;;;;;;;;;;22/12/14 12:44;2.45 ms;null;false;
;;;;;;;;;;22/12/14 11:44;28.07 ms;null;false;
;;;;;;;;;;22/12/14 10:44;52.27 ms;null;false;
;;;;;;;;;;22/12/14 09:44;420.02 ms;null;false;
;;;;;;;;;;22/12/14 08:44;1.13 ms;null;false;
