dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
13/01/15 23:21;916.19 kbit/s;1.11 Mbit/s;160.25 ms;51.99 ms;1.0 Mbit/s;767.82 kbit/s;6.47 %;6.47 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/01/15 22:21;637.12 kbit/s;971.31 kbit/s;17.54 ms;21.82 ms;506.51 kbit/s;775.38 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 21:21;1.08 Mbit/s;772.21 kbit/s;14.31 ms;42.83 ms;452.95 kbit/s;815.11 kbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
13/01/15 20:21;1.16 Mbit/s;1.09 Mbit/s;3.7 ms;26.75 ms;1.26 Mbit/s;1.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/01/15 19:21;796.14 kbit/s;507.92 kbit/s;112.57 ms;40.96 ms;509.26 kbit/s;371.27 kbit/s;6.31 %;6.31 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/01/15 16:22;-;-;-;56.72 ms;-;-;5.84 %;5.84 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/01/15 15:22;176.92 kbit/s;-;37.83 ms;53.17 ms;127.09 kbit/s;206.46 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/01/15 14:21;275.91 kbit/s;295.52 kbit/s;19.02 ms;16.41 ms;288.87 kbit/s;313.15 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/01/15 12:21;1.04 Mbit/s;452.52 kbit/s;22.95 ms;18.77 ms;266.88 kbit/s;318.21 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 11:21;1.67 Mbit/s;940.65 kbit/s;42.64 ms;13.26 ms;1.26 Mbit/s;514.32 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/01/15 10:21;395.96 kbit/s;416.05 kbit/s;53.55 ms;44.51 ms;425.89 kbit/s;445.93 kbit/s;57.69 %;57.69 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/01/15 09:21;1.19 Mbit/s;326.34 kbit/s;9.97 ms;29.89 ms;1.26 Mbit/s;355.26 kbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/01/15 08:21;-;189.0 kbit/s;10.91 ms;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 07:21;763.49 kbit/s;574.02 kbit/s;15.16 ms;31.52 ms;840.44 kbit/s;618.26 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/01/15 06:21;662.39 kbit/s;1.13 Mbit/s;4.36 ms;19.18 ms;514.04 kbit/s;1.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/01/15 05:21;1.72 Mbit/s;433.7 kbit/s;21.6 ms;26.05 ms;1.88 Mbit/s;470.16 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/01/15 04:21;810.88 kbit/s;822.6 kbit/s;22.35 ms;42.57 ms;873.6 kbit/s;657.79 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/01/15 03:21;1.86 Mbit/s;918.96 kbit/s;10.52 ms;22.5 ms;2.04 Mbit/s;987.27 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/01/15 02:21;465.47 kbit/s;1.05 Mbit/s;10.69 ms;28.49 ms;509.67 kbit/s;1.13 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/01/15 01:21;1.24 Mbit/s;519.2 kbit/s;45.91 ms;31.57 ms;1.36 Mbit/s;571.24 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/01/15 00:21;953.05 kbit/s;1.02 Mbit/s;8.73 ms;24.26 ms;1.04 Mbit/s;1.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/01/15 23:21;1.69 Mbit/s;481.06 kbit/s;24.91 ms;31.41 ms;1.81 Mbit/s;515.37 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 22:21;891.97 kbit/s;477.46 kbit/s;9.44 ms;21.06 ms;950.4 kbit/s;503.76 kbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
12/01/15 21:21;208.51 kbit/s;988.96 kbit/s;30.99 ms;25.46 ms;224.29 kbit/s;1.07 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 20:21;988.85 kbit/s;1.01 Mbit/s;9.15 ms;19.53 ms;1.07 Mbit/s;1.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
12/01/15 19:21;1.3 Mbit/s;510.04 kbit/s;31.07 ms;21.11 ms;1.41 Mbit/s;548.46 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 18:21;544.45 kbit/s;1.2 Mbit/s;29.04 ms;34.02 ms;509.67 kbit/s;1.14 Mbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 17:21;11.92 Mbit/s;11.06 Mbit/s;< 1 ms;< 1 ms;10.43 Mbit/s;11.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/01/15 16:21;10.78 Mbit/s;11.59 Mbit/s;2.6 ms;1.08 ms;10.83 Mbit/s;10.71 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 15:21;7.76 Mbit/s;7.34 Mbit/s;2.18 ms;9.85 ms;8.29 Mbit/s;3.74 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/01/15 14:21;3.77 Mbit/s;6.77 Mbit/s;14.43 ms;1.89 ms;3.82 Mbit/s;6.52 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/01/15 13:21;7.31 Mbit/s;4.34 Mbit/s;41.79 ms;24.95 ms;7.96 Mbit/s;4.64 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 12:21;7.04 Mbit/s;7.85 Mbit/s;< 1 ms;1.56 ms;7.58 Mbit/s;6.99 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 11:21;6.42 Mbit/s;5.89 Mbit/s;5.61 ms;4.76 ms;7.01 Mbit/s;4.94 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 10:21;5.11 Mbit/s;7.52 Mbit/s;15.5 ms;41.88 ms;5.59 Mbit/s;7.68 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 09:21;8.58 Mbit/s;8.05 Mbit/s;< 1 ms;3.56 ms;8.65 Mbit/s;7.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 08:21;11.61 Mbit/s;11.28 Mbit/s;1.44 ms;1.23 ms;11.18 Mbit/s;10.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 07:21;11.67 Mbit/s;11.17 Mbit/s;70.65 ms;1.01 ms;11.17 Mbit/s;10.03 Mbit/s;3.47 %;3.47 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
