dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:21;11.51 Mbit/s;11.38 Mbit/s;< 1 ms;< 1 ms;10.72 Mbit/s;10.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 06:21;5.94 Mbit/s;11.26 Mbit/s;2.34 ms;1.45 ms;7.14 Mbit/s;10.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:21;11.78 Mbit/s;11.58 Mbit/s;< 1 ms;< 1 ms;10.86 Mbit/s;11.83 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:21;11.55 Mbit/s;11.75 Mbit/s;< 1 ms;13.33 ms;10.85 Mbit/s;11.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:21;5.52 Mbit/s;11.7 Mbit/s;1.25 ms;4.3 ms;6.16 Mbit/s;11.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 02:21;11.31 Mbit/s;11.85 Mbit/s;< 1 ms;1.64 ms;11.27 Mbit/s;11.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:21;12.04 Mbit/s;11.73 Mbit/s;4.73 ms;< 1 ms;11.03 Mbit/s;12.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:21;12.1 Mbit/s;11.77 Mbit/s;59.87 ms;1.01 ms;10.65 Mbit/s;11.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:21;5.93 Mbit/s;11.0 Mbit/s;2.57 ms;10.9 ms;6.34 Mbit/s;7.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:21;12.17 Mbit/s;11.79 Mbit/s;1.08 ms;1.7 ms;10.55 Mbit/s;11.22 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:21;10.96 Mbit/s;10.55 Mbit/s;< 1 ms;33.71 ms;10.7 Mbit/s;11.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:21;11.29 Mbit/s;9.45 Mbit/s;1.42 ms;1.01 ms;10.1 Mbit/s;10.14 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 19:21;11.3 Mbit/s;10.21 Mbit/s;3.96 ms;12.56 ms;10.5 Mbit/s;10.44 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 18:21;9.34 Mbit/s;9.29 Mbit/s;1.12 ms;1.79 ms;9.93 Mbit/s;8.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 17:21;6.15 Mbit/s;6.47 Mbit/s;11.59 ms;< 1 ms;6.56 Mbit/s;6.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 16:21;7.31 Mbit/s;8.7 Mbit/s;< 1 ms;4.59 ms;8.64 Mbit/s;9.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 15:21;2.53 Mbit/s;8.46 Mbit/s;6.59 ms;6.07 ms;2.76 Mbit/s;3.15 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 14:21;3.52 Mbit/s;6.86 Mbit/s;4.47 ms;1.53 ms;3.81 Mbit/s;5.52 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 13:21;10.06 Mbit/s;9.32 Mbit/s;< 1 ms;8.62 ms;10.15 Mbit/s;9.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:21;10.14 Mbit/s;10.31 Mbit/s;22.91 ms;< 1 ms;9.63 Mbit/s;9.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
