dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
12/01/15 23:03;1.62 Mbit/s;2.81 Mbit/s;< 1 ms;18.24 ms;1.88 Mbit/s;3.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 22:03;17.8 Mbit/s;17.5 Mbit/s;5.19 ms;17.62 ms;4.64 Mbit/s;18.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
12/01/15 21:03;8.4 Mbit/s;10.58 Mbit/s;11.87 ms;7.32 ms;8.89 Mbit/s;8.22 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 20:03;8.15 Mbit/s;18.16 Mbit/s;17.55 ms;13.44 ms;5.66 Mbit/s;8.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 19:03;11.8 Mbit/s;12.19 Mbit/s;1.11 ms;4.17 ms;10.02 Mbit/s;12.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 18:04;10.83 Mbit/s;5.31 Mbit/s;20.11 ms;12.69 ms;4.08 Mbit/s;5.64 Mbit/s;6.72 %;6.72 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 17:03;9.27 Mbit/s;24.29 Mbit/s;21.73 ms;13.03 ms;6.39 Mbit/s;25.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 16:03;8.98 Mbit/s;9.16 Mbit/s;22.28 ms;5.23 ms;9.22 Mbit/s;9.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
12/01/15 15:03;4.98 Mbit/s;9.31 Mbit/s;27.82 ms;24.05 ms;3.64 Mbit/s;9.64 Mbit/s;5.11 %;5.11 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 14:03;180.08 kbit/s;157.07 kbit/s;10.52 ms;12.05 ms;189.38 kbit/s;166.98 kbit/s;2.8 %;2.8 %;PTT Metro de Curitiba;;;;;
12/01/15 13:03;2.17 Mbit/s;11.87 Mbit/s;11.27 ms;11.12 ms;2.18 Mbit/s;12.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 12:03;7.79 Mbit/s;17.83 Mbit/s;19.22 ms;7.35 ms;4.84 Mbit/s;18.98 Mbit/s;10.85 %;10.85 %;PTT Metro de Curitiba;;;;;
12/01/15 11:03;14.89 Mbit/s;18.63 Mbit/s;5.35 ms;3.98 ms;11.36 Mbit/s;11.15 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 10:03;10.83 Mbit/s;20.46 Mbit/s;3.33 ms;4.72 ms;6.68 Mbit/s;19.82 Mbit/s;2.8 %;2.8 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 09:03;7.93 Mbit/s;9.04 Mbit/s;64.19 ms;14.68 ms;6.72 Mbit/s;7.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 08:03;13.28 Mbit/s;19.24 Mbit/s;7.76 ms;6.56 ms;11.38 Mbit/s;20.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 07:03;20.94 Mbit/s;28.85 Mbit/s;< 1 ms;18.43 ms;14.79 Mbit/s;30.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 06:03;21.26 Mbit/s;12.58 Mbit/s;1.3 ms;25.79 ms;23.07 Mbit/s;13.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 05:03;22.63 Mbit/s;27.01 Mbit/s;< 1 ms;2.42 ms;25.51 Mbit/s;22.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 04:03;21.03 Mbit/s;30.21 Mbit/s;< 1 ms;< 1 ms;20.2 Mbit/s;31.57 Mbit/s;11.54 %;11.54 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 03:03;6.12 Mbit/s;5.54 Mbit/s;< 1 ms;< 1 ms;6.12 Mbit/s;5.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 02:03;3.3 Mbit/s;26.53 Mbit/s;66.59 ms;10.27 ms;3.6 Mbit/s;2.87 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/01/15 01:03;20.35 Mbit/s;20.13 Mbit/s;< 1 ms;2.37 ms;20.38 Mbit/s;21.33 Mbit/s;11.9 %;11.9 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 00:03;3.21 Mbit/s;9.75 Mbit/s;45.61 ms;10.04 ms;3.43 Mbit/s;8.74 Mbit/s;12.12 %;12.12 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/01/15 23:03;4.44 Mbit/s;13.58 Mbit/s;< 1 ms;4.68 ms;4.31 Mbit/s;6.0 Mbit/s;5.76 %;5.76 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/01/15 22:03;5.03 Mbit/s;10.19 Mbit/s;< 1 ms;< 1 ms;5.64 Mbit/s;11.2 Mbit/s;3.52 %;3.52 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 21:03;13.36 Mbit/s;10.29 Mbit/s;1.59 ms;1.33 ms;10.82 Mbit/s;10.04 Mbit/s;4.32 %;4.32 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/01/15 20:03;13.98 Mbit/s;16.92 Mbit/s;5.17 ms;5.1 ms;11.37 Mbit/s;16.38 Mbit/s;38.2 %;38.2 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/01/15 19:03;-;1.1 Mbit/s;7.64 ms;41.24 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/01/15 18:03;3.78 Mbit/s;24.22 Mbit/s;< 1 ms;1.92 ms;4.12 Mbit/s;6.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 17:03;7.97 Mbit/s;28.01 Mbit/s;58.36 ms;37.19 ms;7.56 Mbit/s;28.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/01/15 16:03;16.54 Mbit/s;17.67 Mbit/s;29.37 ms;24.41 ms;5.0 Mbit/s;18.4 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/01/15 15:03;17.09 Mbit/s;25.68 Mbit/s;69.42 ms;18.44 ms;11.17 Mbit/s;8.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 14:04;8.81 Mbit/s;10.16 Mbit/s;60.95 ms;3.0 ms;5.1 Mbit/s;9.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
11/01/15 13:03;8.63 Mbit/s;27.36 Mbit/s;< 1 ms;4.5 ms;7.89 Mbit/s;17.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
11/01/15 12:03;6.77 Mbit/s;10.58 Mbit/s;32.02 ms;9.06 ms;7.38 Mbit/s;10.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 11:03;4.63 Mbit/s;4.73 Mbit/s;1.74 ms;5.98 ms;4.63 Mbit/s;3.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/01/15 10:03;21.41 Mbit/s;18.98 Mbit/s;< 1 ms;6.78 ms;18.64 Mbit/s;19.66 Mbit/s;5.88 %;5.88 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
11/01/15 09:03;14.5 Mbit/s;7.09 Mbit/s;6.96 ms;< 1 ms;16.0 Mbit/s;7.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
