dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:03;9.19 Mbit/s;14.6 Mbit/s;< 1 ms;1.05 ms;10.06 Mbit/s;15.24 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 06:03;16.67 Mbit/s;20.39 Mbit/s;< 1 ms;< 1 ms;13.75 Mbit/s;21.65 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 05:03;16.92 Mbit/s;21.18 Mbit/s;< 1 ms;< 1 ms;16.58 Mbit/s;22.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:03;14.38 Mbit/s;20.21 Mbit/s;< 1 ms;9.71 ms;15.65 Mbit/s;20.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 03:03;16.1 Mbit/s;22.67 Mbit/s;< 1 ms;26.99 ms;16.02 Mbit/s;24.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 02:03;17.47 Mbit/s;22.21 Mbit/s;12.68 ms;< 1 ms;17.6 Mbit/s;23.54 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:03;1.76 Mbit/s;8.09 Mbit/s;1.41 ms;< 1 ms;1.9 Mbit/s;8.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 00:03;16.9 Mbit/s;21.98 Mbit/s;40.23 ms;6.13 ms;15.58 Mbit/s;23.49 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 23:03;17.9 Mbit/s;22.28 Mbit/s;1.01 ms;< 1 ms;17.4 Mbit/s;23.27 Mbit/s;2.8 %;2.8 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:03;16.28 Mbit/s;21.39 Mbit/s;1.13 ms;2.05 ms;8.75 Mbit/s;22.43 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
