dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
02/01/15 00:04;2.34 Mbit/s;15.17 Mbit/s;16.53 ms;3.9 ms;2.49 Mbit/s;16.18 Mbit/s;1.4 %;1.4 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/01/15 23:04;3.79 Mbit/s;22.34 Mbit/s;< 1 ms;< 1 ms;4.06 Mbit/s;23.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/01/15 22:04;1.68 Mbit/s;15.99 Mbit/s;4.01 ms;< 1 ms;1.82 Mbit/s;17.04 Mbit/s;42.71 %;42.71 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/01/15 21:04;1.6 Mbit/s;19.76 Mbit/s;3.74 ms;< 1 ms;1.74 Mbit/s;20.32 Mbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/01/15 20:04;1.09 Mbit/s;2.71 Mbit/s;35.29 ms;< 1 ms;-;2.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
01/01/15 19:04;1.4 Mbit/s;19.05 Mbit/s;9.14 ms;1.28 ms;1.49 Mbit/s;17.28 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/01/15 18:04;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/01/15 17:04;5.05 Mbit/s;22.45 Mbit/s;12.31 ms;< 1 ms;2.89 Mbit/s;23.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/01/15 16:04;2.46 Mbit/s;3.38 Mbit/s;1.57 ms;< 1 ms;2.67 Mbit/s;3.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/01/15 15:04;1.22 Mbit/s;11.28 Mbit/s;22.22 ms;< 1 ms;1.36 Mbit/s;11.9 Mbit/s;3.55 %;3.55 %;PTT Metro de Curitiba;;;;;
01/01/15 14:04;1.14 Mbit/s;14.05 Mbit/s;13.28 ms;1.6 ms;1.26 Mbit/s;10.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
