dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:04;-;-;-;-;-;-;15.83 %;15.83 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:04;1.74 Mbit/s;20.39 Mbit/s;7.48 ms;1.31 ms;1.9 Mbit/s;20.5 Mbit/s;2.1 %;2.1 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:04;2.46 Mbit/s;22.08 Mbit/s;6.89 ms;< 1 ms;2.06 Mbit/s;23.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:04;2.48 Mbit/s;21.22 Mbit/s;4.15 ms;1.67 ms;2.58 Mbit/s;22.48 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
23/12/14 03:04;3.6 Mbit/s;21.96 Mbit/s;12.6 ms;1.23 ms;3.56 Mbit/s;22.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 02:04;4.98 Mbit/s;21.6 Mbit/s;5.04 ms;1.28 ms;5.35 Mbit/s;22.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:04;1.31 Mbit/s;16.77 Mbit/s;12.94 ms;3.05 ms;1.41 Mbit/s;16.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:04;4.4 Mbit/s;14.68 Mbit/s;15.92 ms;< 1 ms;2.46 Mbit/s;15.59 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 23:04;3.96 Mbit/s;21.26 Mbit/s;4.96 ms;< 1 ms;2.73 Mbit/s;20.59 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 22:04;1.59 Mbit/s;10.38 Mbit/s;8.09 ms;< 1 ms;1.52 Mbit/s;9.75 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:04;-;-;-;-;-;-;82.54 %;82.54 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
