dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
04/01/15 00:07;20.69 Mbit/s;29.48 Mbit/s;< 1 ms;< 1 ms;20.86 Mbit/s;31.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 23:07;17.8 Mbit/s;27.46 Mbit/s;< 1 ms;< 1 ms;19.52 Mbit/s;29.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 22:07;23.63 Mbit/s;27.54 Mbit/s;< 1 ms;< 1 ms;25.88 Mbit/s;25.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 21:07;22.94 Mbit/s;21.06 Mbit/s;< 1 ms;< 1 ms;25.13 Mbit/s;22.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/01/15 20:07;23.92 Mbit/s;20.88 Mbit/s;< 1 ms;< 1 ms;25.86 Mbit/s;21.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 19:07;23.66 Mbit/s;20.79 Mbit/s;< 1 ms;< 1 ms;26.1 Mbit/s;22.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 18:07;761.38 kbit/s;4.67 Mbit/s;29.18 ms;33.51 ms;824.73 kbit/s;3.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
03/01/15 17:07;22.05 Mbit/s;25.58 Mbit/s;< 1 ms;< 1 ms;24.27 Mbit/s;25.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 16:07;22.59 Mbit/s;23.79 Mbit/s;< 1 ms;< 1 ms;24.8 Mbit/s;25.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 15:07;24.3 Mbit/s;24.21 Mbit/s;1.21 ms;< 1 ms;26.5 Mbit/s;26.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 14:07;22.42 Mbit/s;24.97 Mbit/s;37.66 ms;20.93 ms;24.67 Mbit/s;21.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 13:07;21.84 Mbit/s;27.12 Mbit/s;42.66 ms;< 1 ms;22.88 Mbit/s;26.01 Mbit/s;0.76 %;0.76 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 12:07;22.66 Mbit/s;19.17 Mbit/s;< 1 ms;< 1 ms;23.91 Mbit/s;19.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 11:07;24.18 Mbit/s;24.01 Mbit/s;< 1 ms;4.13 ms;26.06 Mbit/s;24.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 10:07;24.8 Mbit/s;26.85 Mbit/s;< 1 ms;< 1 ms;26.85 Mbit/s;28.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 09:07;23.96 Mbit/s;26.66 Mbit/s;< 1 ms;< 1 ms;25.85 Mbit/s;28.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 08:07;23.69 Mbit/s;28.1 Mbit/s;< 1 ms;< 1 ms;25.95 Mbit/s;25.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 07:07;24.47 Mbit/s;26.14 Mbit/s;< 1 ms;< 1 ms;26.15 Mbit/s;28.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 06:07;23.99 Mbit/s;28.32 Mbit/s;< 1 ms;< 1 ms;25.49 Mbit/s;30.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/01/15 05:07;23.81 Mbit/s;27.26 Mbit/s;< 1 ms;< 1 ms;26.16 Mbit/s;29.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 04:07;24.26 Mbit/s;27.5 Mbit/s;< 1 ms;< 1 ms;26.6 Mbit/s;27.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/01/15 03:07;24.22 Mbit/s;26.98 Mbit/s;< 1 ms;< 1 ms;26.54 Mbit/s;28.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/01/15 02:07;23.88 Mbit/s;27.38 Mbit/s;< 1 ms;< 1 ms;26.27 Mbit/s;23.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/01/15 01:07;23.81 Mbit/s;24.18 Mbit/s;2.22 ms;< 1 ms;25.98 Mbit/s;25.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/01/15 00:07;23.39 Mbit/s;26.07 Mbit/s;< 1 ms;< 1 ms;25.45 Mbit/s;27.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/01/15 23:07;22.29 Mbit/s;22.2 Mbit/s;< 1 ms;4.38 ms;24.54 Mbit/s;20.31 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/01/15 22:07;19.01 Mbit/s;26.83 Mbit/s;< 1 ms;< 1 ms;20.66 Mbit/s;20.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/01/15 21:07;22.85 Mbit/s;13.17 Mbit/s;< 1 ms;8.77 ms;24.64 Mbit/s;13.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
