dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:46;-;298.69 kbit/s;1.19 ms;3.24 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:46;2.42 Mbit/s;2.44 Mbit/s;2.68 ms;3.64 ms;2.25 Mbit/s;1.72 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 05:46;3.25 Mbit/s;984.71 kbit/s;4.15 ms;8.36 ms;3.09 Mbit/s;1.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:46;3.4 Mbit/s;464.38 kbit/s;6.42 ms;4.7 ms;2.73 Mbit/s;498.15 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:46;3.21 Mbit/s;811.14 kbit/s;6.86 ms;1.93 ms;3.14 Mbit/s;866.8 kbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:46;4.17 Mbit/s;2.46 Mbit/s;3.18 ms;4.88 ms;3.93 Mbit/s;2.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 01:47;3.26 Mbit/s;2.25 Mbit/s;3.2 ms;2.72 ms;2.78 Mbit/s;2.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:46;3.83 Mbit/s;2.67 Mbit/s;1.63 ms;1.92 ms;3.01 Mbit/s;2.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 23:46;3.16 Mbit/s;2.68 Mbit/s;1.49 ms;1.83 ms;3.17 Mbit/s;2.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:46;3.43 Mbit/s;2.69 Mbit/s;7.58 ms;2.0 ms;3.4 Mbit/s;2.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 21:46;2.91 Mbit/s;1.9 Mbit/s;8.27 ms;19.07 ms;2.57 Mbit/s;1.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 20:46;3.3 Mbit/s;1.63 Mbit/s;1.76 ms;1.31 ms;2.75 Mbit/s;1.72 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 19:46;2.55 Mbit/s;1.58 Mbit/s;5.62 ms;6.12 ms;1.81 Mbit/s;797.51 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 18:46;5.31 Mbit/s;1.66 Mbit/s;2.34 ms;3.24 ms;2.6 Mbit/s;1.17 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 17:46;3.3 Mbit/s;4.35 Mbit/s;1.83 ms;19.62 ms;2.82 Mbit/s;4.58 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 16:46;2.51 Mbit/s;5.92 Mbit/s;7.5 ms;3.86 ms;2.59 Mbit/s;5.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:46;2.65 Mbit/s;4.43 Mbit/s;8.32 ms;5.68 ms;2.79 Mbit/s;4.39 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 14:46;2.72 Mbit/s;5.43 Mbit/s;15.25 ms;7.77 ms;2.83 Mbit/s;5.54 Mbit/s;2.1 %;2.1 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 13:46;3.53 Mbit/s;5.09 Mbit/s;5.44 ms;13.84 ms;3.76 Mbit/s;5.24 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:46;4.52 Mbit/s;5.84 Mbit/s;9.32 ms;2.57 ms;2.96 Mbit/s;6.08 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 11:46;4.72 Mbit/s;6.13 Mbit/s;4.19 ms;6.76 ms;3.63 Mbit/s;6.38 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 10:46;4.08 Mbit/s;6.1 Mbit/s;4.29 ms;2.86 ms;4.08 Mbit/s;6.14 Mbit/s;5.88 %;5.88 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 09:46;3.75 Mbit/s;5.81 Mbit/s;4.47 ms;2.9 ms;3.4 Mbit/s;4.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 08:46;4.17 Mbit/s;5.87 Mbit/s;3.0 ms;3.64 ms;4.28 Mbit/s;6.0 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
