dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
02/01/15 23:24;27.5 Mbit/s;27.37 Mbit/s;5.69 ms;5.17 ms;28.47 Mbit/s;25.53 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/01/15 20:25;21.28 Mbit/s;23.94 Mbit/s;2.68 ms;14.95 ms;20.45 Mbit/s;9.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/01/15 17:24;5.46 Mbit/s;678.58 kbit/s;7.59 ms;4.95 ms;5.89 Mbit/s;728.66 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/01/15 11:24;16.5 Mbit/s;24.89 Mbit/s;10.41 ms;24.63 ms;16.69 Mbit/s;22.33 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/01/15 08:24;14.09 Mbit/s;19.99 Mbit/s;1.15 ms;36.05 ms;9.97 Mbit/s;13.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/01/15 05:24;25.03 Mbit/s;25.84 Mbit/s;< 1 ms;< 1 ms;26.09 Mbit/s;24.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/01/15 02:24;25.45 Mbit/s;27.06 Mbit/s;11.18 ms;< 1 ms;27.62 Mbit/s;26.25 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/01/15 23:24;27.13 Mbit/s;24.33 Mbit/s;< 1 ms;< 1 ms;26.17 Mbit/s;23.36 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/01/15 20:24;20.09 Mbit/s;6.2 Mbit/s;45.59 ms;7.12 ms;21.26 Mbit/s;6.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/01/15 17:24;98.99 kbit/s;2.5 Mbit/s;2.07 ms;20.5 ms;107.35 kbit/s;2.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/01/15 14:24;27.45 Mbit/s;24.43 Mbit/s;< 1 ms;7.07 ms;27.26 Mbit/s;24.42 Mbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/01/15 11:24;26.25 Mbit/s;21.91 Mbit/s;43.05 ms;40.54 ms;27.14 Mbit/s;20.4 Mbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/01/15 08:24;28.76 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;29.46 Mbit/s;24.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/01/15 05:24;20.25 Mbit/s;27.04 Mbit/s;< 1 ms;< 1 ms;22.0 Mbit/s;26.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/01/15 02:24;28.4 Mbit/s;29.65 Mbit/s;1.91 ms;< 1 ms;29.51 Mbit/s;26.95 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;02/01/15 23:38;7.53 ms;null;false;
;;;;;;;;;;02/01/15 22:38;1.57 ms;null;false;
;;;;;;;;;;02/01/15 21:38;2.69 ms;null;false;
;;;;;;;;;;02/01/15 20:38;1.1 ms;null;false;
;;;;;;;;;;02/01/15 19:38;169.04 ms;null;false;
;;;;;;;;;;02/01/15 18:38;1.78 ms;null;false;
;;;;;;;;;;02/01/15 17:38;77.75 ms;null;false;
;;;;;;;;;;02/01/15 16:38;5.5 ms;null;false;
;;;;;;;;;;02/01/15 15:38;2.23 ms;null;false;
;;;;;;;;;;02/01/15 14:38;2.32 ms;null;false;
;;;;;;;;;;02/01/15 13:38;2.13 ms;null;false;
;;;;;;;;;;02/01/15 12:38;141.97 ms;null;false;
;;;;;;;;;;02/01/15 11:38;1.09 ms;null;false;
;;;;;;;;;;02/01/15 10:38;1.15 ms;null;false;
;;;;;;;;;;02/01/15 09:38;6.5 ms;null;false;
;;;;;;;;;;02/01/15 08:38;7.56 ms;null;false;
;;;;;;;;;;02/01/15 07:38;1.16 ms;null;false;
;;;;;;;;;;02/01/15 06:38;14.36 ms;null;false;
;;;;;;;;;;02/01/15 05:38;1.27 ms;null;false;
;;;;;;;;;;02/01/15 04:38;1.71 ms;null;false;
;;;;;;;;;;02/01/15 03:38;1.63 ms;null;false;
;;;;;;;;;;02/01/15 03:38;1.63 ms;null;false;
;;;;;;;;;;02/01/15 02:38;12.07 ms;null;false;
;;;;;;;;;;02/01/15 01:38;1.22 ms;null;false;
;;;;;;;;;;02/01/15 00:38;95.9 ms;null;false;
;;;;;;;;;;01/01/15 23:38;1.11 ms;null;false;
