dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
19/01/15 21:13;3.06 Mbit/s;7.59 Mbit/s;18.74 ms;12.68 ms;3.31 Mbit/s;8.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 18:13;13.0 Mbit/s;2.82 Mbit/s;17.57 ms;35.37 ms;13.55 Mbit/s;2.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/01/15 15:13;19.29 Mbit/s;14.94 Mbit/s;29.3 ms;30.39 ms;20.55 Mbit/s;9.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 12:13;13.65 Mbit/s;8.23 Mbit/s;13.28 ms;12.26 ms;13.72 Mbit/s;8.98 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 09:13;15.52 Mbit/s;1.76 Mbit/s;50.65 ms;10.27 ms;15.24 Mbit/s;1.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 06:13;15.81 Mbit/s;9.21 Mbit/s;15.68 ms;18.27 ms;12.78 Mbit/s;8.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 03:13;22.26 Mbit/s;20.41 Mbit/s;< 1 ms;2.1 ms;21.61 Mbit/s;18.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/01/15 00:13;20.09 Mbit/s;23.32 Mbit/s;3.19 ms;4.85 ms;21.03 Mbit/s;25.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 21:13;21.0 Mbit/s;18.6 Mbit/s;20.3 ms;15.43 ms;11.84 Mbit/s;9.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 18:13;13.63 Mbit/s;13.22 Mbit/s;23.56 ms;32.99 ms;14.13 Mbit/s;8.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 15:13;16.93 Mbit/s;13.19 Mbit/s;10.1 ms;27.82 ms;15.03 Mbit/s;13.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 12:13;18.17 Mbit/s;5.71 Mbit/s;10.43 ms;10.4 ms;19.39 Mbit/s;6.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 09:13;7.73 Mbit/s;16.85 Mbit/s;9.41 ms;8.0 ms;8.55 Mbit/s;10.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 06:13;17.5 Mbit/s;9.51 Mbit/s;5.68 ms;21.69 ms;18.15 Mbit/s;10.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 03:13;15.32 Mbit/s;17.21 Mbit/s;9.02 ms;12.79 ms;11.96 Mbit/s;13.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 00:13;19.6 Mbit/s;16.58 Mbit/s;19.2 ms;19.75 ms;20.46 Mbit/s;17.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;19/01/15 23:27;28.36 ms;null;false;
;;;;;;;;;;19/01/15 22:27;10.76 ms;null;false;
;;;;;;;;;;19/01/15 21:27;94.44 ms;null;false;
;;;;;;;;;;19/01/15 20:27;116.33 ms;null;false;
;;;;;;;;;;19/01/15 19:27;90.3 ms;null;false;
;;;;;;;;;;19/01/15 18:27;139.85 ms;null;false;
;;;;;;;;;;19/01/15 17:27;99.09 ms;null;false;
;;;;;;;;;;19/01/15 16:27;112.42 ms;null;false;
;;;;;;;;;;19/01/15 15:27;62.75 ms;null;false;
;;;;;;;;;;19/01/15 14:27;155.16 ms;null;false;
;;;;;;;;;;19/01/15 13:27;23.8 ms;null;false;
;;;;;;;;;;19/01/15 12:27;644.5 ms;null;false;
;;;;;;;;;;19/01/15 11:27;122.68 ms;null;false;
;;;;;;;;;;19/01/15 10:27;9.42 ms;null;false;
;;;;;;;;;;19/01/15 09:27;2.77 ms;null;false;
;;;;;;;;;;19/01/15 08:27;168.98 ms;null;false;
