dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:13;12.44 Mbit/s;9.86 Mbit/s;20.88 ms;3.89 ms;10.67 Mbit/s;10.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
23/12/14 03:13;18.45 Mbit/s;24.3 Mbit/s;< 1 ms;1.4 ms;18.07 Mbit/s;25.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:13;14.8 Mbit/s;20.19 Mbit/s;31.64 ms;28.62 ms;11.17 Mbit/s;20.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 21:13;15.64 Mbit/s;15.22 Mbit/s;8.86 ms;9.86 ms;10.97 Mbit/s;16.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 18:13;-;10.41 Mbit/s;8.98 ms;36.85 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:13;16.63 Mbit/s;18.13 Mbit/s;7.6 ms;23.51 ms;13.46 Mbit/s;19.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 12:13;1.35 Mbit/s;15.17 Mbit/s;25.88 ms;16.09 ms;1.36 Mbit/s;2.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 09:13;11.18 Mbit/s;12.86 Mbit/s;27.54 ms;42.72 ms;11.71 Mbit/s;11.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;23/12/14 07:27;252.94 ms;null;false;
;;;;;;;;;;23/12/14 06:27;292.67 ms;null;false;
;;;;;;;;;;23/12/14 05:27;1.33 ms;null;false;
;;;;;;;;;;23/12/14 04:27;57.76 ms;null;false;
;;;;;;;;;;23/12/14 03:27;5.59 ms;null;false;
;;;;;;;;;;23/12/14 02:27;3.8 ms;null;false;
;;;;;;;;;;23/12/14 01:27;82.31 ms;null;false;
;;;;;;;;;;23/12/14 00:27;244.62 ms;null;false;
;;;;;;;;;;22/12/14 23:27;39.56 ms;null;false;
;;;;;;;;;;22/12/14 22:27;49.29 ms;null;false;
;;;;;;;;;;22/12/14 21:27;40.95 ms;null;false;
;;;;;;;;;;22/12/14 20:27;45.63 ms;null;false;
;;;;;;;;;;22/12/14 19:27;234.81 ms;null;false;
;;;;;;;;;;22/12/14 18:27;103.27 ms;null;false;
;;;;;;;;;;22/12/14 17:27;44.17 ms;null;false;
;;;;;;;;;;22/12/14 16:27;392.7 ms;null;false;
;;;;;;;;;;22/12/14 15:27;210.8 ms;null;false;
;;;;;;;;;;22/12/14 14:27;112.24 ms;null;false;
;;;;;;;;;;22/12/14 13:27;87.58 ms;null;false;
;;;;;;;;;;22/12/14 12:27;10.55 ms;null;false;
;;;;;;;;;;22/12/14 11:27;1.39 ms;null;false;
;;;;;;;;;;22/12/14 10:27;14.8 ms;null;false;
;;;;;;;;;;22/12/14 09:27;10.01 ms;null;false;
;;;;;;;;;;22/12/14 08:27;19.15 ms;null;false;
