dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
06/01/15 23:49;50.03 Mbit/s;50.72 Mbit/s;< 1 ms;< 1 ms;53.98 Mbit/s;53.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 22:49;36.64 Mbit/s;16.08 Mbit/s;< 1 ms;< 1 ms;39.9 Mbit/s;17.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 21:49;55.39 Mbit/s;49.17 Mbit/s;1.04 ms;1.8 ms;60.38 Mbit/s;50.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 20:49;40.88 Mbit/s;28.41 Mbit/s;< 1 ms;< 1 ms;43.58 Mbit/s;30.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 19:49;37.95 Mbit/s;19.76 Mbit/s;< 1 ms;9.73 ms;41.04 Mbit/s;21.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 18:49;41.25 Mbit/s;31.0 Mbit/s;1.91 ms;1.74 ms;45.06 Mbit/s;33.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 17:49;39.45 Mbit/s;32.42 Mbit/s;1.02 ms;2.99 ms;43.54 Mbit/s;31.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 16:49;38.79 Mbit/s;26.53 Mbit/s;22.52 ms;1.05 ms;36.6 Mbit/s;28.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 15:49;23.84 Mbit/s;18.78 Mbit/s;< 1 ms;8.19 ms;25.94 Mbit/s;19.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 14:49;33.14 Mbit/s;31.95 Mbit/s;32.07 ms;9.38 ms;34.11 Mbit/s;31.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 13:49;30.91 Mbit/s;31.83 Mbit/s;< 1 ms;< 1 ms;33.77 Mbit/s;33.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 12:49;28.43 Mbit/s;25.07 Mbit/s;1.84 ms;16.37 ms;29.25 Mbit/s;26.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 11:49;23.71 Mbit/s;11.44 Mbit/s;38.22 ms;49.27 ms;25.96 Mbit/s;12.28 Mbit/s;3.52 %;3.52 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
06/01/15 10:49;36.63 Mbit/s;28.18 Mbit/s;3.32 ms;40.75 ms;39.24 Mbit/s;29.53 Mbit/s;5.07 %;5.07 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 09:49;42.02 Mbit/s;30.5 Mbit/s;1.96 ms;2.95 ms;45.33 Mbit/s;32.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 08:49;-;-;-;-;-;-;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
06/01/15 07:49;40.67 Mbit/s;40.47 Mbit/s;< 1 ms;< 1 ms;44.2 Mbit/s;36.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 06:49;37.13 Mbit/s;38.9 Mbit/s;< 1 ms;16.58 ms;40.78 Mbit/s;38.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 05:49;42.72 Mbit/s;50.1 Mbit/s;< 1 ms;< 1 ms;46.81 Mbit/s;51.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 04:49;6.45 Mbit/s;16.69 Mbit/s;10.98 ms;20.88 ms;2.6 Mbit/s;6.59 Mbit/s;3.47 %;3.47 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 03:49;19.62 Mbit/s;37.44 Mbit/s;31.85 ms;10.67 ms;18.81 Mbit/s;30.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 02:49;583.41 kbit/s;5.71 Mbit/s;< 1 ms;2.76 ms;592.58 kbit/s;6.07 Mbit/s;3.52 %;3.52 %;PTT Metro de Curitiba;;;;;
06/01/15 01:49;11.41 Mbit/s;24.52 Mbit/s;20.59 ms;< 1 ms;12.53 Mbit/s;26.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 00:49;10.46 Mbit/s;18.25 Mbit/s;1.31 ms;32.32 ms;10.92 Mbit/s;10.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 23:49;9.61 Mbit/s;23.02 Mbit/s;1.13 ms;3.26 ms;10.57 Mbit/s;16.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/01/15 22:49;17.29 Mbit/s;28.88 Mbit/s;< 1 ms;< 1 ms;18.75 Mbit/s;31.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/01/15 21:49;17.5 Mbit/s;21.54 Mbit/s;1.25 ms;< 1 ms;18.55 Mbit/s;23.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 20:49;17.27 Mbit/s;22.43 Mbit/s;< 1 ms;< 1 ms;17.05 Mbit/s;24.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
