dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:49;20.71 Mbit/s;18.54 Mbit/s;< 1 ms;< 1 ms;20.54 Mbit/s;19.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:49;18.21 Mbit/s;22.98 Mbit/s;< 1 ms;1.96 ms;17.53 Mbit/s;24.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:49;17.45 Mbit/s;23.1 Mbit/s;1.05 ms;< 1 ms;18.31 Mbit/s;24.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:49;20.45 Mbit/s;23.03 Mbit/s;6.17 ms;5.85 ms;18.58 Mbit/s;24.76 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:49;16.42 Mbit/s;25.59 Mbit/s;< 1 ms;< 1 ms;16.14 Mbit/s;27.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:49;18.58 Mbit/s;25.8 Mbit/s;< 1 ms;< 1 ms;20.14 Mbit/s;27.09 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:49;23.96 Mbit/s;28.76 Mbit/s;< 1 ms;< 1 ms;23.11 Mbit/s;30.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:49;18.94 Mbit/s;28.63 Mbit/s;< 1 ms;1.83 ms;20.24 Mbit/s;30.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:49;25.76 Mbit/s;30.51 Mbit/s;< 1 ms;< 1 ms;24.82 Mbit/s;32.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 22:49;24.26 Mbit/s;27.18 Mbit/s;1.2 ms;< 1 ms;25.38 Mbit/s;28.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 21:49;20.52 Mbit/s;22.01 Mbit/s;< 1 ms;1.93 ms;21.54 Mbit/s;19.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 20:49;26.25 Mbit/s;26.48 Mbit/s;< 1 ms;3.17 ms;25.45 Mbit/s;28.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 19:49;21.26 Mbit/s;25.76 Mbit/s;< 1 ms;< 1 ms;19.89 Mbit/s;27.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 18:49;25.4 Mbit/s;26.23 Mbit/s;< 1 ms;16.81 ms;26.19 Mbit/s;26.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 17:49;21.51 Mbit/s;26.45 Mbit/s;< 1 ms;3.09 ms;22.09 Mbit/s;26.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 16:49;14.65 Mbit/s;19.94 Mbit/s;< 1 ms;< 1 ms;14.65 Mbit/s;18.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 15:49;22.34 Mbit/s;26.08 Mbit/s;< 1 ms;5.77 ms;21.63 Mbit/s;27.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 14:49;18.82 Mbit/s;22.39 Mbit/s;4.21 ms;1.82 ms;13.35 Mbit/s;20.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 13:49;20.82 Mbit/s;27.77 Mbit/s;< 1 ms;< 1 ms;22.45 Mbit/s;28.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
