dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
26/12/14 23:39;16.36 Mbit/s;35.39 Mbit/s;34.65 ms;1.71 ms;17.4 Mbit/s;37.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 22:39;8.92 Mbit/s;178.65 kbit/s;35.92 ms;34.19 ms;9.19 Mbit/s;190.07 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 21:39;6.78 Mbit/s;9.07 Mbit/s;29.78 ms;18.27 ms;7.45 Mbit/s;8.3 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 20:40;996.22 kbit/s;411.58 kbit/s;141.21 ms;38.3 ms;1.12 Mbit/s;377.82 kbit/s;9.76 %;9.76 %;PTT Metro de Belo Horizonte;;;;;
26/12/14 19:42;3.73 Mbit/s;829.38 kbit/s;62.27 ms;21.27 ms;3.82 Mbit/s;874.67 kbit/s;11.7 %;11.7 %;PTT Metro de Porto Alegre;;;;;
26/12/14 18:42;348.57 kbit/s;1.31 Mbit/s;50.38 ms;11.63 ms;415.42 kbit/s;1.03 Mbit/s;0.76 %;0.76 %;PTT Metro de Belo Horizonte;;;;;
26/12/14 17:39;-;-;-;-;-;-;2.05 %;2.05 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 16:39;-;-;-;-;-;-;0.79 %;0.79 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 15:39;5.09 Mbit/s;1.04 Mbit/s;33.34 ms;44.04 ms;3.3 Mbit/s;381.91 kbit/s;40.0 %;40.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 14:39;3.28 Mbit/s;2.75 Mbit/s;32.02 ms;21.14 ms;3.21 Mbit/s;2.68 Mbit/s;1.49 %;1.49 %;PTT Metro de Campinas;;;;;
26/12/14 13:39;6.5 Mbit/s;32.26 Mbit/s;7.13 ms;3.81 ms;4.95 Mbit/s;22.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Goiania;;;;;
26/12/14 12:41;19.07 Mbit/s;2.62 Mbit/s;< 1 ms;4.58 ms;16.56 Mbit/s;2.62 Mbit/s;0.68 %;0.68 %;PTT Metro de Campinas;;;;;
26/12/14 11:41;8.32 Mbit/s;17.73 Mbit/s;12.92 ms;3.09 ms;9.56 Mbit/s;18.77 Mbit/s;1.5 %;1.5 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 10:39;8.83 Mbit/s;12.27 Mbit/s;36.36 ms;30.36 ms;4.68 Mbit/s;12.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 09:39;23.96 Mbit/s;48.88 Mbit/s;18.75 ms;2.25 ms;15.09 Mbit/s;47.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 08:39;24.48 Mbit/s;44.19 Mbit/s;1.85 ms;5.86 ms;4.48 Mbit/s;47.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 07:39;31.42 Mbit/s;47.39 Mbit/s;< 1 ms;8.39 ms;35.06 Mbit/s;49.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 06:39;29.62 Mbit/s;46.16 Mbit/s;< 1 ms;< 1 ms;32.17 Mbit/s;49.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
26/12/14 05:39;32.28 Mbit/s;32.44 Mbit/s;< 1 ms;< 1 ms;25.35 Mbit/s;33.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 04:39;13.91 Mbit/s;28.37 Mbit/s;< 1 ms;< 1 ms;12.53 Mbit/s;30.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 03:39;17.74 Mbit/s;28.6 Mbit/s;1.03 ms;1.31 ms;19.71 Mbit/s;31.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 02:39;30.6 Mbit/s;47.66 Mbit/s;< 1 ms;< 1 ms;26.46 Mbit/s;50.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
26/12/14 01:39;24.26 Mbit/s;46.27 Mbit/s;< 1 ms;< 1 ms;26.45 Mbit/s;49.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 00:39;22.6 Mbit/s;42.38 Mbit/s;1.3 ms;10.8 ms;18.41 Mbit/s;46.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/12/14 23:39;6.34 Mbit/s;30.69 Mbit/s;2.97 ms;2.98 ms;6.34 Mbit/s;33.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/12/14 22:40;17.89 Mbit/s;7.47 Mbit/s;42.89 ms;8.2 ms;20.3 Mbit/s;8.01 Mbit/s;0.81 %;0.81 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/12/14 21:39;7.54 Mbit/s;1.6 Mbit/s;< 1 ms;25.18 ms;6.09 Mbit/s;1.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/12/14 20:39;23.6 Mbit/s;45.95 Mbit/s;< 1 ms;< 1 ms;11.4 Mbit/s;49.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 19:39;5.42 Mbit/s;5.13 Mbit/s;3.6 ms;8.02 ms;5.61 Mbit/s;5.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 18:39;27.03 Mbit/s;33.33 Mbit/s;1.16 ms;1.37 ms;29.93 Mbit/s;35.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 17:39;5.93 Mbit/s;18.94 Mbit/s;< 1 ms;24.18 ms;5.19 Mbit/s;17.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
