dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:39;23.9 Mbit/s;31.01 Mbit/s;5.51 ms;11.34 ms;23.94 Mbit/s;33.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 06:39;26.34 Mbit/s;45.38 Mbit/s;< 1 ms;1.75 ms;28.53 Mbit/s;48.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 05:39;22.21 Mbit/s;23.59 Mbit/s;1.07 ms;5.02 ms;24.54 Mbit/s;20.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
23/12/14 04:39;11.04 Mbit/s;48.61 Mbit/s;< 1 ms;< 1 ms;12.17 Mbit/s;48.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:39;31.96 Mbit/s;49.45 Mbit/s;1.3 ms;< 1 ms;35.07 Mbit/s;52.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:39;5.41 Mbit/s;40.3 Mbit/s;< 1 ms;< 1 ms;5.94 Mbit/s;43.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:39;23.12 Mbit/s;47.92 Mbit/s;< 1 ms;1.26 ms;25.18 Mbit/s;51.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:39;30.86 Mbit/s;31.09 Mbit/s;< 1 ms;< 1 ms;33.78 Mbit/s;33.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 23:39;16.04 Mbit/s;45.73 Mbit/s;2.32 ms;1.67 ms;15.8 Mbit/s;50.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:39;3.98 Mbit/s;54.99 Mbit/s;< 1 ms;< 1 ms;4.39 Mbit/s;58.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:39;15.93 Mbit/s;52.57 Mbit/s;< 1 ms;2.34 ms;14.38 Mbit/s;55.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:39;11.86 Mbit/s;36.61 Mbit/s;< 1 ms;< 1 ms;13.06 Mbit/s;39.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 19:39;22.57 Mbit/s;39.57 Mbit/s;< 1 ms;7.94 ms;17.47 Mbit/s;42.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 18:39;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
22/12/14 17:39;6.34 Mbit/s;16.27 Mbit/s;1.43 ms;5.8 ms;6.21 Mbit/s;7.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 16:39;15.62 Mbit/s;40.74 Mbit/s;< 1 ms;4.62 ms;3.64 Mbit/s;41.54 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 15:39;15.96 Mbit/s;32.07 Mbit/s;35.87 ms;1.09 ms;17.55 Mbit/s;32.37 Mbit/s;28.17 %;28.17 %;PTT Metro de Porto Alegre;;;;;
22/12/14 14:40;17.23 Mbit/s;39.58 Mbit/s;16.83 ms;3.11 ms;19.09 Mbit/s;41.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Belo Horizonte;;;;;
22/12/14 13:40;15.37 Mbit/s;38.37 Mbit/s;< 1 ms;4.91 ms;16.71 Mbit/s;39.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 12:39;9.04 Mbit/s;13.25 Mbit/s;15.94 ms;5.77 ms;9.39 Mbit/s;10.51 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 11:39;29.17 Mbit/s;38.1 Mbit/s;1.19 ms;5.5 ms;30.63 Mbit/s;40.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
