dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
19/01/15 23:14;22.17 Mbit/s;27.6 Mbit/s;< 1 ms;< 1 ms;23.23 Mbit/s;29.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 22:14;20.46 Mbit/s;23.6 Mbit/s;< 1 ms;5.16 ms;15.73 Mbit/s;23.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/01/15 21:14;19.25 Mbit/s;23.52 Mbit/s;11.06 ms;9.63 ms;19.32 Mbit/s;19.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 20:14;16.7 Mbit/s;24.27 Mbit/s;1.3 ms;5.71 ms;16.56 Mbit/s;25.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 19:14;14.91 Mbit/s;25.96 Mbit/s;4.49 ms;< 1 ms;12.98 Mbit/s;24.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 18:14;20.61 Mbit/s;28.14 Mbit/s;< 1 ms;1.06 ms;19.78 Mbit/s;29.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/01/15 17:14;20.92 Mbit/s;28.55 Mbit/s;63.93 ms;13.92 ms;14.11 Mbit/s;26.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/01/15 16:14;14.95 Mbit/s;26.05 Mbit/s;2.88 ms;< 1 ms;16.14 Mbit/s;27.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
19/01/15 15:14;14.69 Mbit/s;30.89 Mbit/s;6.52 ms;21.76 ms;13.59 Mbit/s;33.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 14:14;20.0 Mbit/s;29.69 Mbit/s;< 1 ms;28.1 ms;19.8 Mbit/s;31.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 13:14;23.18 Mbit/s;18.56 Mbit/s;34.19 ms;8.81 ms;19.52 Mbit/s;20.12 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/01/15 12:14;10.46 Mbit/s;17.31 Mbit/s;3.9 ms;3.72 ms;7.39 Mbit/s;17.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 11:14;3.72 Mbit/s;21.83 Mbit/s;7.49 ms;1.73 ms;4.09 Mbit/s;23.02 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/01/15 10:14;22.68 Mbit/s;25.73 Mbit/s;1.25 ms;< 1 ms;23.4 Mbit/s;27.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 09:14;20.88 Mbit/s;28.49 Mbit/s;< 1 ms;14.26 ms;17.74 Mbit/s;30.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/01/15 08:14;17.83 Mbit/s;29.1 Mbit/s;< 1 ms;< 1 ms;19.6 Mbit/s;31.5 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/01/15 07:14;18.4 Mbit/s;24.25 Mbit/s;< 1 ms;1.42 ms;19.24 Mbit/s;25.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 06:14;21.55 Mbit/s;23.41 Mbit/s;< 1 ms;< 1 ms;22.19 Mbit/s;25.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 05:14;6.55 Mbit/s;7.72 Mbit/s;28.36 ms;2.59 ms;7.87 Mbit/s;8.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/01/15 04:14;23.62 Mbit/s;30.16 Mbit/s;< 1 ms;< 1 ms;23.37 Mbit/s;32.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/01/15 03:14;20.5 Mbit/s;27.68 Mbit/s;< 1 ms;1.51 ms;15.67 Mbit/s;29.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/01/15 02:14;19.02 Mbit/s;26.97 Mbit/s;< 1 ms;< 1 ms;20.74 Mbit/s;28.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/01/15 01:14;21.4 Mbit/s;24.92 Mbit/s;< 1 ms;< 1 ms;21.26 Mbit/s;26.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/01/15 00:14;21.4 Mbit/s;22.0 Mbit/s;< 1 ms;< 1 ms;18.75 Mbit/s;23.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 23:14;11.86 Mbit/s;23.33 Mbit/s;1.5 ms;8.08 ms;8.56 Mbit/s;24.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 22:14;7.44 Mbit/s;12.06 Mbit/s;6.13 ms;1.1 ms;-;12.94 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 21:14;14.44 Mbit/s;19.35 Mbit/s;4.78 ms;6.71 ms;7.71 Mbit/s;19.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 20:14;14.38 Mbit/s;20.11 Mbit/s;3.78 ms;18.49 ms;9.54 Mbit/s;18.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 19:14;12.85 Mbit/s;17.34 Mbit/s;31.42 ms;15.78 ms;7.01 Mbit/s;15.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 18:14;473.89 kbit/s;2.26 Mbit/s;77.54 ms;20.31 ms;539.35 kbit/s;2.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 17:14;15.66 Mbit/s;17.33 Mbit/s;1.0 ms;3.68 ms;12.83 Mbit/s;17.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 16:14;10.2 Mbit/s;12.77 Mbit/s;1.41 ms;1.1 ms;10.49 Mbit/s;13.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 15:14;16.76 Mbit/s;20.93 Mbit/s;< 1 ms;1.56 ms;18.28 Mbit/s;22.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 14:14;16.06 Mbit/s;23.49 Mbit/s;< 1 ms;< 1 ms;17.37 Mbit/s;24.72 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 13:14;18.91 Mbit/s;28.1 Mbit/s;30.41 ms;< 1 ms;20.32 Mbit/s;29.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 12:14;16.81 Mbit/s;19.05 Mbit/s;2.12 ms;< 1 ms;12.66 Mbit/s;19.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 11:14;9.94 Mbit/s;9.02 Mbit/s;1.54 ms;1.2 ms;10.46 Mbit/s;8.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 10:14;18.58 Mbit/s;21.77 Mbit/s;< 1 ms;3.39 ms;20.14 Mbit/s;21.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 09:14;19.33 Mbit/s;27.29 Mbit/s;< 1 ms;4.33 ms;20.46 Mbit/s;28.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 08:14;17.18 Mbit/s;4.64 Mbit/s;< 1 ms;< 1 ms;14.07 Mbit/s;4.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 07:14;1.6 Mbit/s;25.77 Mbit/s;2.76 ms;1.04 ms;1.74 Mbit/s;14.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 06:14;22.31 Mbit/s;29.53 Mbit/s;< 1 ms;< 1 ms;22.49 Mbit/s;31.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 05:14;20.67 Mbit/s;29.46 Mbit/s;< 1 ms;< 1 ms;21.63 Mbit/s;31.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 04:14;20.93 Mbit/s;28.94 Mbit/s;< 1 ms;1.75 ms;20.77 Mbit/s;30.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 03:14;19.74 Mbit/s;28.88 Mbit/s;< 1 ms;< 1 ms;19.16 Mbit/s;30.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 02:14;20.52 Mbit/s;29.3 Mbit/s;< 1 ms;< 1 ms;21.33 Mbit/s;31.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 01:14;18.72 Mbit/s;26.94 Mbit/s;< 1 ms;< 1 ms;19.64 Mbit/s;28.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 00:14;6.37 Mbit/s;1.32 Mbit/s;35.48 ms;31.15 ms;6.82 Mbit/s;1.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
;;;;;;;;;;19/01/15 23:28;2.89 ms;null;false;
;;;;;;;;;;19/01/15 22:28;1.92 ms;null;false;
;;;;;;;;;;19/01/15 21:28;1.19 ms;null;false;
;;;;;;;;;;19/01/15 20:28;22.05 ms;null;false;
;;;;;;;;;;19/01/15 19:28;2.4 ms;null;false;
;;;;;;;;;;19/01/15 18:28;1.71 ms;null;false;
;;;;;;;;;;19/01/15 17:28;1.24 ms;null;false;
;;;;;;;;;;19/01/15 16:28;1.61 ms;null;false;
;;;;;;;;;;19/01/15 15:28;1.87 ms;null;false;
;;;;;;;;;;19/01/15 14:28;66.73 ms;null;false;
;;;;;;;;;;19/01/15 13:28;33.45 ms;null;false;
;;;;;;;;;;19/01/15 12:28;5.79 ms;null;false;
;;;;;;;;;;19/01/15 11:28;3.38 ms;null;false;
;;;;;;;;;;19/01/15 10:28;1.47 ms;null;false;
;;;;;;;;;;19/01/15 09:28;70.05 ms;null;false;
;;;;;;;;;;19/01/15 08:28;1.61 ms;null;false;
;;;;;;;;;;19/01/15 07:28;13.25 ms;null;false;
;;;;;;;;;;19/01/15 06:28;1.53 ms;null;false;
;;;;;;;;;;19/01/15 05:28;2.4 ms;null;false;
;;;;;;;;;;19/01/15 04:28;1.9 ms;null;false;
;;;;;;;;;;19/01/15 03:28;1.45 ms;null;false;
;;;;;;;;;;19/01/15 02:28;1.49 ms;null;false;
;;;;;;;;;;19/01/15 01:28;1.62 ms;null;false;
;;;;;;;;;;19/01/15 00:28;1.47 ms;null;false;
;;;;;;;;;;18/01/15 23:28;53.67 ms;null;false;
;;;;;;;;;;18/01/15 22:28;84.98 ms;null;false;
;;;;;;;;;;18/01/15 21:28;2.97 ms;null;false;
;;;;;;;;;;18/01/15 20:28;1.81 ms;null;false;
;;;;;;;;;;18/01/15 19:28;27.09 ms;null;false;
;;;;;;;;;;18/01/15 18:28;122.89 ms;null;false;
;;;;;;;;;;18/01/15 17:28;3.33 ms;null;false;
;;;;;;;;;;18/01/15 16:28;1.82 ms;null;false;
;;;;;;;;;;18/01/15 15:28;2.41 ms;null;false;
;;;;;;;;;;18/01/15 14:28;2.3 ms;null;false;
;;;;;;;;;;18/01/15 13:28;2.9 ms;null;false;
;;;;;;;;;;18/01/15 12:28;7.83 ms;null;false;
;;;;;;;;;;18/01/15 11:28;3.64 ms;null;false;
;;;;;;;;;;18/01/15 10:28;2.02 ms;null;false;
;;;;;;;;;;18/01/15 09:28;1.37 ms;null;false;
;;;;;;;;;;18/01/15 08:28;1.3 ms;null;false;
;;;;;;;;;;18/01/15 07:28;37.0 ms;null;false;
;;;;;;;;;;18/01/15 06:28;1.29 ms;null;false;
;;;;;;;;;;18/01/15 05:28;1.92 ms;null;false;
;;;;;;;;;;18/01/15 04:28;3.0 ms;null;false;
;;;;;;;;;;18/01/15 03:28;22.71 ms;null;false;
;;;;;;;;;;18/01/15 02:28;6.02 ms;null;false;
;;;;;;;;;;18/01/15 01:28;1.74 ms;null;false;
;;;;;;;;;;18/01/15 00:28;159.05 ms;null;false;
