dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:14;13.98 Mbit/s;27.6 Mbit/s;< 1 ms;8.1 ms;14.71 Mbit/s;29.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:14;21.22 Mbit/s;30.06 Mbit/s;< 1 ms;3.31 ms;21.84 Mbit/s;31.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:14;22.83 Mbit/s;28.38 Mbit/s;< 1 ms;< 1 ms;21.66 Mbit/s;30.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:14;26.6 Mbit/s;31.28 Mbit/s;< 1 ms;< 1 ms;27.07 Mbit/s;32.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:14;25.34 Mbit/s;27.29 Mbit/s;9.85 ms;1.09 ms;25.71 Mbit/s;28.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:14;26.24 Mbit/s;27.14 Mbit/s;< 1 ms;< 1 ms;27.11 Mbit/s;29.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:14;15.0 Mbit/s;19.83 Mbit/s;14.93 ms;7.89 ms;9.34 Mbit/s;20.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:14;25.02 Mbit/s;21.16 Mbit/s;1.41 ms;6.62 ms;24.95 Mbit/s;22.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:14;25.47 Mbit/s;972.52 kbit/s;7.58 ms;12.74 ms;23.33 Mbit/s;1.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 22:14;671.87 kbit/s;1.11 Mbit/s;5.73 ms;5.64 ms;687.71 kbit/s;1.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 21:14;2.72 Mbit/s;31.5 Mbit/s;4.41 ms;< 1 ms;542.84 kbit/s;15.07 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
