dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:11;15.34 Mbit/s;14.38 Mbit/s;< 1 ms;5.24 ms;11.51 Mbit/s;15.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:11;18.34 Mbit/s;24.39 Mbit/s;< 1 ms;1.27 ms;18.66 Mbit/s;26.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:11;18.93 Mbit/s;25.61 Mbit/s;< 1 ms;< 1 ms;19.7 Mbit/s;27.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 04:11;17.78 Mbit/s;28.08 Mbit/s;< 1 ms;< 1 ms;19.63 Mbit/s;30.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 03:11;18.18 Mbit/s;30.16 Mbit/s;< 1 ms;< 1 ms;20.07 Mbit/s;29.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 02:11;16.57 Mbit/s;20.67 Mbit/s;< 1 ms;< 1 ms;17.85 Mbit/s;21.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:11;18.28 Mbit/s;22.95 Mbit/s;< 1 ms;< 1 ms;18.88 Mbit/s;24.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 00:11;15.18 Mbit/s;22.55 Mbit/s;< 1 ms;< 1 ms;16.54 Mbit/s;24.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 23:11;17.71 Mbit/s;20.01 Mbit/s;< 1 ms;< 1 ms;18.47 Mbit/s;21.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:11;18.33 Mbit/s;26.54 Mbit/s;< 1 ms;< 1 ms;19.95 Mbit/s;27.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 21:11;18.23 Mbit/s;26.26 Mbit/s;< 1 ms;< 1 ms;20.05 Mbit/s;26.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 20:11;17.6 Mbit/s;31.78 Mbit/s;< 1 ms;1.67 ms;18.48 Mbit/s;29.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:11;17.94 Mbit/s;29.12 Mbit/s;< 1 ms;< 1 ms;18.85 Mbit/s;30.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 18:11;18.79 Mbit/s;42.36 Mbit/s;1.09 ms;< 1 ms;19.24 Mbit/s;45.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 17:11;14.19 Mbit/s;28.99 Mbit/s;< 1 ms;< 1 ms;15.43 Mbit/s;30.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 16:12;20.88 Mbit/s;27.49 Mbit/s;2.38 ms;< 1 ms;21.53 Mbit/s;24.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 15:12;17.13 Mbit/s;26.72 Mbit/s;< 1 ms;1.81 ms;17.6 Mbit/s;22.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 14:11;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Vitoria;;;;;
22/12/14 13:11;16.54 Mbit/s;39.34 Mbit/s;< 1 ms;< 1 ms;13.52 Mbit/s;24.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 12:11;14.55 Mbit/s;19.64 Mbit/s;< 1 ms;< 1 ms;12.58 Mbit/s;18.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 11:11;15.14 Mbit/s;22.96 Mbit/s;< 1 ms;2.05 ms;15.03 Mbit/s;24.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 10:11;17.5 Mbit/s;31.5 Mbit/s;< 1 ms;< 1 ms;18.53 Mbit/s;33.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
