dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
06/01/15 23:27;21.06 kbit/s;246.23 kbit/s;2.71 ms;14.08 ms;28.8 kbit/s;256.21 kbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
06/01/15 22:25;50.55 kbit/s;197.11 kbit/s;33.08 ms;17.45 ms;404.07 kbit/s;202.8 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 21:24;38.96 kbit/s;77.18 kbit/s;8.51 ms;6.99 ms;342.98 kbit/s;83.65 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 20:24;5.07 Mbit/s;690.99 kbit/s;< 1 ms;1.31 ms;7.11 Mbit/s;713.75 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 19:24;53.71 kbit/s;137.32 kbit/s;20.3 ms;93.76 ms;410.18 kbit/s;151.55 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 18:24;-;-;-;8.1 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 17:24;-;2.47 Mbit/s;60.45 ms;7.34 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 16:26;45.28 kbit/s;213.65 kbit/s;60.71 ms;24.73 ms;607.42 kbit/s;145.44 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 15:35;-;-;2.09 ms;10.59 ms;-;-;10.42 %;10.42 %;PTT Metro de Campinas;;;;;
06/01/15 14:25;10.38 Mbit/s;5.43 Mbit/s;1.13 ms;< 1 ms;5.27 Mbit/s;3.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 13:20;2.83 Mbit/s;391.25 kbit/s;4.11 ms;2.61 ms;573.38 kbit/s;418.0 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 12:23;40.02 kbit/s;138.99 kbit/s;28.0 ms;31.64 ms;146.62 kbit/s;135.22 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 11:22;-;-;156.56 ms;59.33 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 09:20;40.02 kbit/s;57.34 kbit/s;8.92 ms;12.96 ms;38.4 kbit/s;61.76 kbit/s;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
06/01/15 08:20;58.97 kbit/s;87.25 kbit/s;16.43 ms;9.14 ms;50.62 kbit/s;81.84 kbit/s;1.38 %;1.38 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 07:20;47.39 kbit/s;10.75 kbit/s;9.52 ms;4.01 ms;46.25 kbit/s;10.45 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 06:20;43.18 kbit/s;139.49 kbit/s;37.23 ms;9.76 ms;34.91 kbit/s;147.63 kbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 05:20;-;13.88 kbit/s;57.72 ms;16.69 ms;-;-;2.8 %;2.8 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 04:20;50.55 kbit/s;38.16 kbit/s;9.28 ms;9.76 ms;49.75 kbit/s;30.45 kbit/s;5.97 %;5.97 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 03:20;44.23 kbit/s;1.03 kbit/s;4.51 ms;4.14 ms;44.51 kbit/s;4.35 kbit/s;1.37 %;1.37 %;PTT Metro de Campinas;;;;;
06/01/15 02:20;52.65 kbit/s;251.06 kbit/s;1.34 ms;1.82 ms;51.49 kbit/s;250.94 kbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
06/01/15 01:21;49.5 kbit/s;271.84 kbit/s;1.42 ms;2.89 ms;50.62 kbit/s;289.72 kbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
06/01/15 00:20;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/01/15 23:20;-;175.37 kbit/s;40.69 ms;3.22 ms;-;-;1.37 %;1.37 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
