dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:21;43.18 kbit/s;66.58 kbit/s;65.21 ms;7.97 ms;41.89 kbit/s;68.74 kbit/s;1.37 %;1.37 %;PTT Metro de Curitiba;;;;;
23/12/14 06:20;46.34 kbit/s;11.8 kbit/s;43.73 ms;4.86 ms;45.38 kbit/s;10.44 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 05:20;46.34 kbit/s;57.17 kbit/s;36.69 ms;13.45 ms;45.38 kbit/s;62.66 kbit/s;11.38 %;11.38 %;PTT Metro de Campinas;;;;;
23/12/14 04:22;-;6.34 kbit/s;311.15 ms;85.95 ms;-;-;57.14 %;57.14 %;PTT Metro de Florianopolis;;;;;
23/12/14 03:20;45.28 kbit/s;56.48 kbit/s;53.36 ms;32.56 ms;45.38 kbit/s;58.92 kbit/s;11.29 %;11.29 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:21;50.55 kbit/s;84.29 kbit/s;26.67 ms;16.57 ms;44.51 kbit/s;84.3 kbit/s;5.15 %;5.15 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 01:22;-;145.6 kbit/s;26.48 ms;13.76 ms;-;-;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
23/12/14 00:23;-;128.0 kbit/s;58.67 ms;46.48 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:23;50.55 kbit/s;157.2 kbit/s;< 1 ms;27.96 ms;370.04 kbit/s;143.64 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 22:21;51.6 kbit/s;185.6 kbit/s;1.09 ms;17.86 ms;234.76 kbit/s;191.34 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:20;-;307.8 kbit/s;< 1 ms;1.43 ms;-;-;5.88 %;5.88 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
