dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
17/01/15 00:00;11.3 Mbit/s;11.11 Mbit/s;< 1 ms;7.09 ms;10.2 Mbit/s;11.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/01/15 23:00;9.64 Mbit/s;10.56 Mbit/s;2.82 ms;2.52 ms;9.08 Mbit/s;9.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/01/15 22:00;6.28 Mbit/s;6.37 Mbit/s;7.21 ms;4.98 ms;2.98 Mbit/s;6.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/01/15 21:00;3.18 Mbit/s;2.56 Mbit/s;7.71 ms;10.83 ms;3.41 Mbit/s;2.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/01/15 20:00;1.21 Mbit/s;4.98 Mbit/s;1.51 ms;43.72 ms;914.62 kbit/s;3.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/01/15 19:00;1.31 Mbit/s;653.88 kbit/s;2.01 ms;20.69 ms;-;59.29 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
16/01/15 18:01;649.76 kbit/s;217.16 kbit/s;68.17 ms;30.44 ms;158.84 kbit/s;132.3 kbit/s;14.84 %;14.84 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/01/15 17:01;260.11 kbit/s;2.11 kbit/s;5.58 ms;51.37 ms;274.04 kbit/s;-;7.35 %;7.35 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/01/15 16:00;-;-;-;-;-;-;50.0 %;50.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/01/15 15:00;82.14 kbit/s;16.68 kbit/s;69.18 ms;56.71 ms;84.65 kbit/s;12.19 kbit/s;9.85 %;9.85 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
16/01/15 14:00;3.57 Mbit/s;502.05 kbit/s;60.35 ms;11.3 ms;2.66 Mbit/s;470.2 kbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/01/15 13:00;313.82 kbit/s;692.75 kbit/s;29.75 ms;88.6 ms;229.53 kbit/s;369.26 kbit/s;7.46 %;7.46 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/01/15 12:00;419.13 kbit/s;373.65 kbit/s;9.46 ms;22.33 ms;408.44 kbit/s;66.66 kbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/01/15 11:00;5.35 Mbit/s;6.55 Mbit/s;7.07 ms;5.34 ms;5.92 Mbit/s;6.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/01/15 10:00;4.64 Mbit/s;946.82 kbit/s;21.53 ms;123.91 ms;3.85 Mbit/s;992.92 kbit/s;5.11 %;5.11 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
16/01/15 09:00;8.57 Mbit/s;8.72 Mbit/s;< 1 ms;18.42 ms;1.49 Mbit/s;9.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/01/15 08:00;7.47 Mbit/s;6.86 Mbit/s;17.35 ms;5.19 ms;5.96 Mbit/s;6.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/01/15 07:00;8.78 Mbit/s;14.55 Mbit/s;< 1 ms;1.35 ms;8.97 Mbit/s;14.76 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/01/15 06:00;9.82 Mbit/s;18.76 Mbit/s;< 1 ms;2.13 ms;9.86 Mbit/s;19.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/01/15 05:00;11.91 Mbit/s;12.85 Mbit/s;< 1 ms;1.12 ms;9.5 Mbit/s;13.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/01/15 04:00;8.58 Mbit/s;12.14 Mbit/s;< 1 ms;1.28 ms;8.23 Mbit/s;12.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
16/01/15 03:00;8.92 Mbit/s;11.71 Mbit/s;< 1 ms;1.31 ms;9.48 Mbit/s;11.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
16/01/15 02:00;8.13 Mbit/s;12.38 Mbit/s;< 1 ms;3.91 ms;8.62 Mbit/s;13.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/01/15 01:00;9.4 Mbit/s;9.95 Mbit/s;10.87 ms;2.49 ms;6.92 Mbit/s;10.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
16/01/15 00:00;3.83 Mbit/s;7.36 Mbit/s;6.92 ms;2.65 ms;4.18 Mbit/s;7.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
15/01/15 23:00;841.42 kbit/s;7.83 Mbit/s;< 1 ms;8.13 ms;914.62 kbit/s;8.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
