dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:34;15.61 Mbit/s;13.35 Mbit/s;1.55 ms;26.58 ms;18.23 Mbit/s;13.51 Mbit/s;0.69 %;0.69 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 03:34;19.87 Mbit/s;15.24 Mbit/s;4.36 ms;10.34 ms;24.42 Mbit/s;12.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:34;21.29 Mbit/s;14.62 Mbit/s;11.29 ms;16.05 ms;21.73 Mbit/s;14.17 Mbit/s;0.7 %;0.7 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 21:34;25.91 Mbit/s;13.07 Mbit/s;1.65 ms;3.97 ms;19.68 Mbit/s;13.87 Mbit/s;0.69 %;0.69 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 18:34;15.99 Mbit/s;15.22 Mbit/s;11.91 ms;5.26 ms;19.36 Mbit/s;15.64 Mbit/s;0.75 %;0.75 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 15:35;16.17 Mbit/s;14.45 Mbit/s;3.44 ms;8.13 ms;19.8 Mbit/s;15.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 12:35;-;-;-;7.18 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:34;13.34 Mbit/s;13.61 Mbit/s;1.25 ms;1.33 ms;15.78 Mbit/s;13.52 Mbit/s;3.7 %;3.7 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:48;8.27 ms;null;false;
;;;;;;;;;;23/12/14 06:48;23.48 ms;null;false;
;;;;;;;;;;23/12/14 05:48;12.6 ms;null;false;
;;;;;;;;;;23/12/14 04:48;5.22 ms;null;false;
;;;;;;;;;;23/12/14 03:48;9.51 ms;null;false;
;;;;;;;;;;23/12/14 02:48;4.69 ms;null;false;
;;;;;;;;;;23/12/14 01:48;7.11 ms;null;false;
;;;;;;;;;;23/12/14 00:48;84.54 ms;null;false;
;;;;;;;;;;22/12/14 23:48;8.53 ms;null;false;
;;;;;;;;;;22/12/14 22:48;9.05 ms;null;false;
;;;;;;;;;;22/12/14 21:48;9.89 ms;null;false;
;;;;;;;;;;22/12/14 20:48;8.6 ms;null;false;
;;;;;;;;;;22/12/14 19:48;5.04 ms;null;false;
;;;;;;;;;;22/12/14 18:48;11.87 ms;null;false;
;;;;;;;;;;22/12/14 17:48;392.77 ms;null;false;
;;;;;;;;;;22/12/14 16:48;21.71 ms;null;false;
;;;;;;;;;;22/12/14 15:48;25.6 ms;null;false;
;;;;;;;;;;22/12/14 14:48;27.82 ms;null;false;
;;;;;;;;;;22/12/14 13:48;13.99 ms;null;false;
;;;;;;;;;;22/12/14 11:48;4.71 ms;null;false;
;;;;;;;;;;22/12/14 10:48;2.63 ms;null;false;
;;;;;;;;;;22/12/14 09:48;15.78 ms;null;false;
;;;;;;;;;;22/12/14 08:48;3.68 ms;null;false;
