dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:31;27.82 Mbit/s;27.79 Mbit/s;< 1 ms;4.52 ms;30.27 Mbit/s;25.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:30;34.26 Mbit/s;32.21 Mbit/s;< 1 ms;< 1 ms;37.75 Mbit/s;31.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:30;29.17 Mbit/s;29.1 Mbit/s;< 1 ms;< 1 ms;32.14 Mbit/s;28.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:30;31.09 Mbit/s;36.93 Mbit/s;< 1 ms;< 1 ms;31.97 Mbit/s;39.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:30;35.96 Mbit/s;43.59 Mbit/s;< 1 ms;< 1 ms;39.47 Mbit/s;44.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 02:30;36.11 Mbit/s;43.11 Mbit/s;1.59 ms;< 1 ms;39.64 Mbit/s;44.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:30;35.61 Mbit/s;39.85 Mbit/s;< 1 ms;< 1 ms;39.3 Mbit/s;40.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:30;36.36 Mbit/s;43.14 Mbit/s;< 1 ms;1.14 ms;39.86 Mbit/s;43.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 23:30;34.93 Mbit/s;35.03 Mbit/s;< 1 ms;< 1 ms;38.55 Mbit/s;37.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 22:30;31.26 Mbit/s;40.82 Mbit/s;1.98 ms;1.3 ms;34.21 Mbit/s;39.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:30;34.42 Mbit/s;33.19 Mbit/s;< 1 ms;< 1 ms;38.0 Mbit/s;29.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 18:30;32.97 Mbit/s;36.8 Mbit/s;< 1 ms;2.89 ms;36.1 Mbit/s;37.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 17:30;23.84 Mbit/s;21.43 Mbit/s;7.94 ms;2.3 ms;26.27 Mbit/s;22.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Belo Horizonte;;;;;
22/12/14 15:30;25.82 Mbit/s;16.19 Mbit/s;1.45 ms;1.67 ms;28.09 Mbit/s;16.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 12:30;-;22.75 Mbit/s;62.55 ms;21.16 ms;-;-;2.07 %;2.07 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 11:30;1.87 Mbit/s;2.04 Mbit/s;24.01 ms;41.38 ms;2.16 Mbit/s;2.02 Mbit/s;8.03 %;8.03 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 10:30;15.14 Mbit/s;38.47 Mbit/s;< 1 ms;< 1 ms;16.91 Mbit/s;37.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
