dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/01/15 00:13;12.15 Mbit/s;23.84 Mbit/s;38.54 ms;43.49 ms;12.57 Mbit/s;25.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/01/15 23:13;8.4 Mbit/s;10.99 Mbit/s;2.27 ms;9.42 ms;9.26 Mbit/s;11.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/01/15 22:13;9.96 Mbit/s;8.67 Mbit/s;2.3 ms;4.27 ms;10.93 Mbit/s;9.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/01/15 21:13;9.7 Mbit/s;22.66 Mbit/s;176.75 ms;11.4 ms;10.66 Mbit/s;24.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/01/15 20:13;8.71 Mbit/s;15.94 Mbit/s;6.91 ms;3.98 ms;7.7 Mbit/s;14.77 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/01/15 19:13;247.48 kbit/s;423.36 kbit/s;21.22 ms;3.41 ms;185.89 kbit/s;445.2 kbit/s;1.36 %;1.36 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/01/15 18:13;353.84 kbit/s;10.63 Mbit/s;51.29 ms;11.51 ms;356.95 kbit/s;11.16 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/01/15 17:13;261.17 kbit/s;328.48 kbit/s;76.19 ms;9.43 ms;280.15 kbit/s;349.87 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/01/15 16:13;3.73 Mbit/s;7.08 Mbit/s;6.18 ms;6.8 ms;972.22 kbit/s;7.66 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/01/15 14:13;551.82 kbit/s;2.01 Mbit/s;87.79 ms;10.58 ms;42.76 kbit/s;2.14 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
