dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
07/01/15 22:12;23.44 Mbit/s;25.4 Mbit/s;2.47 ms;14.59 ms;21.64 Mbit/s;26.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 19:12;19.94 Mbit/s;23.22 Mbit/s;24.47 ms;4.65 ms;21.74 Mbit/s;19.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 16:12;6.95 Mbit/s;18.79 Mbit/s;< 1 ms;9.96 ms;7.41 Mbit/s;6.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 13:12;22.46 Mbit/s;19.88 Mbit/s;9.12 ms;3.19 ms;15.31 Mbit/s;20.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 10:12;22.11 Mbit/s;14.49 Mbit/s;2.55 ms;4.94 ms;20.08 Mbit/s;15.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
07/01/15 07:12;22.62 Mbit/s;23.6 Mbit/s;1.55 ms;1.96 ms;23.89 Mbit/s;25.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 04:12;25.43 Mbit/s;29.1 Mbit/s;< 1 ms;< 1 ms;26.78 Mbit/s;30.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 01:12;24.14 Mbit/s;24.64 Mbit/s;< 1 ms;< 1 ms;26.08 Mbit/s;26.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 22:12;661.34 kbit/s;6.71 Mbit/s;14.02 ms;2.04 ms;721.75 kbit/s;5.96 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
06/01/15 19:12;15.99 Mbit/s;25.52 Mbit/s;5.63 ms;3.76 ms;16.42 Mbit/s;26.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 16:12;21.46 Mbit/s;16.0 Mbit/s;25.31 ms;37.24 ms;12.38 Mbit/s;17.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 10:12;11.64 Mbit/s;19.59 Mbit/s;26.86 ms;16.99 ms;7.11 Mbit/s;20.9 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 07:12;23.31 Mbit/s;30.14 Mbit/s;1.9 ms;2.23 ms;24.86 Mbit/s;32.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 04:12;21.5 Mbit/s;28.65 Mbit/s;2.08 ms;< 1 ms;10.83 Mbit/s;30.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 01:12;22.61 Mbit/s;31.59 Mbit/s;< 1 ms;< 1 ms;24.76 Mbit/s;23.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;07/01/15 23:26;15.34 ms;null;false;
;;;;;;;;;;07/01/15 22:26;1.27 ms;null;false;
;;;;;;;;;;07/01/15 21:26;105.64 ms;null;false;
;;;;;;;;;;07/01/15 20:26;391.89 ms;null;false;
;;;;;;;;;;07/01/15 19:26;449.13 ms;null;false;
;;;;;;;;;;07/01/15 18:26;47.44 ms;null;false;
;;;;;;;;;;07/01/15 17:26;5.64 ms;null;false;
;;;;;;;;;;07/01/15 16:26;480.32 ms;null;false;
;;;;;;;;;;07/01/15 15:26;48.23 ms;null;false;
;;;;;;;;;;07/01/15 14:26;2.0 ms;null;false;
;;;;;;;;;;07/01/15 13:26;106.17 ms;null;false;
;;;;;;;;;;07/01/15 12:26;80.34 ms;null;false;
;;;;;;;;;;07/01/15 11:26;73.88 ms;null;false;
;;;;;;;;;;07/01/15 10:26;13.82 ms;null;false;
;;;;;;;;;;07/01/15 09:26;10.35 ms;null;false;
;;;;;;;;;;07/01/15 08:26;74.38 ms;null;false;
;;;;;;;;;;07/01/15 07:26;2.07 ms;null;false;
;;;;;;;;;;07/01/15 06:26;1.09 ms;null;false;
;;;;;;;;;;07/01/15 05:26;152.9 ms;null;false;
;;;;;;;;;;07/01/15 04:26;1.2 ms;null;false;
;;;;;;;;;;07/01/15 03:26;6.13 ms;null;false;
;;;;;;;;;;07/01/15 02:26;3.26 ms;null;false;
;;;;;;;;;;07/01/15 01:26;1.08 ms;null;false;
;;;;;;;;;;07/01/15 00:26;1.2 ms;null;false;
;;;;;;;;;;06/01/15 23:26;527.53 ms;null;false;
;;;;;;;;;;06/01/15 22:26;266.47 ms;null;false;
;;;;;;;;;;06/01/15 21:26;2.83 ms;null;false;
;;;;;;;;;;06/01/15 20:26;43.2 ms;null;false;
;;;;;;;;;;06/01/15 19:26;4.93 ms;null;false;
;;;;;;;;;;06/01/15 18:26;2.94 ms;null;false;
;;;;;;;;;;06/01/15 17:26;35.4 ms;null;false;
