dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:12;8.85 Mbit/s;31.01 Mbit/s;2.56 ms;1.01 ms;9.75 Mbit/s;21.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:12;22.63 Mbit/s;30.49 Mbit/s;< 1 ms;5.0 ms;22.85 Mbit/s;31.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:12;12.49 Mbit/s;17.23 Mbit/s;1.22 ms;24.8 ms;13.28 Mbit/s;13.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 22:12;9.25 Mbit/s;19.43 Mbit/s;4.74 ms;1.35 ms;6.28 Mbit/s;18.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 19:12;9.55 Mbit/s;8.1 Mbit/s;< 1 ms;35.28 ms;9.59 Mbit/s;6.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 16:12;-;1.63 Mbit/s;43.09 ms;26.9 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 13:12;6.8 Mbit/s;8.59 Mbit/s;11.49 ms;16.92 ms;2.98 Mbit/s;7.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 10:12;17.53 Mbit/s;26.39 Mbit/s;1.38 ms;< 1 ms;14.62 Mbit/s;21.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:26;1.13 ms;null;false;
;;;;;;;;;;23/12/14 06:26;1.84 ms;null;false;
;;;;;;;;;;23/12/14 05:26;1.11 ms;null;false;
;;;;;;;;;;23/12/14 04:26;1.1 ms;null;false;
;;;;;;;;;;23/12/14 03:26;98.14 ms;null;false;
;;;;;;;;;;23/12/14 02:26;3.34 ms;null;false;
;;;;;;;;;;23/12/14 01:26;1.32 ms;null;false;
;;;;;;;;;;23/12/14 00:26;1.46 ms;null;false;
;;;;;;;;;;22/12/14 23:26;184.87 ms;null;false;
;;;;;;;;;;22/12/14 22:26;14.78 ms;null;false;
;;;;;;;;;;22/12/14 21:26;276.21 ms;null;false;
;;;;;;;;;;22/12/14 20:26;83.81 ms;null;false;
;;;;;;;;;;22/12/14 19:26;217.15 ms;null;false;
;;;;;;;;;;22/12/14 18:26;30.63 ms;null;false;
;;;;;;;;;;22/12/14 17:26;163.47 ms;null;false;
;;;;;;;;;;22/12/14 16:26;204.99 ms;null;false;
;;;;;;;;;;22/12/14 15:26;2.75 ms;null;false;
;;;;;;;;;;22/12/14 14:26;143.32 ms;null;false;
;;;;;;;;;;22/12/14 13:26;24.5 ms;null;false;
;;;;;;;;;;22/12/14 12:26;10.46 ms;null;false;
;;;;;;;;;;22/12/14 11:26;80.29 ms;null;false;
;;;;;;;;;;22/12/14 10:26;157.01 ms;null;false;
;;;;;;;;;;22/12/14 09:26;1.66 ms;null;false;
;;;;;;;;;;22/12/14 08:26;1.4 ms;null;false;
