dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
07/01/15 16:48;3.82 Mbit/s;8.05 Mbit/s;14.38 ms;6.07 ms;4.0 Mbit/s;8.57 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 15:48;5.89 Mbit/s;11.79 Mbit/s;5.93 ms;7.74 ms;6.35 Mbit/s;12.52 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 08:48;2.59 Mbit/s;11.9 Mbit/s;9.85 ms;7.64 ms;2.85 Mbit/s;12.66 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 07:48;6.93 Mbit/s;8.86 Mbit/s;11.02 ms;1.47 ms;6.17 Mbit/s;9.48 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
07/01/15 06:48;10.23 Mbit/s;10.75 Mbit/s;24.58 ms;1.55 ms;10.68 Mbit/s;11.53 Mbit/s;3.57 %;3.57 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
07/01/15 05:48;12.78 Mbit/s;13.07 Mbit/s;21.24 ms;3.39 ms;13.15 Mbit/s;13.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 03:48;10.27 Mbit/s;14.52 Mbit/s;13.07 ms;< 1 ms;11.26 Mbit/s;15.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
07/01/15 02:48;5.73 Mbit/s;10.27 Mbit/s;19.31 ms;4.32 ms;6.25 Mbit/s;10.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
07/01/15 01:48;6.53 Mbit/s;11.44 Mbit/s;3.79 ms;2.67 ms;7.02 Mbit/s;11.35 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
07/01/15 00:48;4.49 Mbit/s;2.7 Mbit/s;29.98 ms;10.95 ms;4.78 Mbit/s;2.78 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
