dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:48;9.66 Mbit/s;16.24 Mbit/s;1.25 ms;1.21 ms;10.68 Mbit/s;16.97 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 06:48;12.12 Mbit/s;12.61 Mbit/s;7.52 ms;4.29 ms;13.34 Mbit/s;13.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:48;9.01 Mbit/s;10.53 Mbit/s;6.68 ms;2.7 ms;9.79 Mbit/s;11.15 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:48;15.36 Mbit/s;15.7 Mbit/s;2.59 ms;2.18 ms;16.11 Mbit/s;16.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:48;15.26 Mbit/s;17.46 Mbit/s;< 1 ms;1.52 ms;16.57 Mbit/s;18.58 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 02:48;12.28 Mbit/s;16.88 Mbit/s;1.7 ms;1.3 ms;13.33 Mbit/s;17.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:48;12.89 Mbit/s;12.31 Mbit/s;3.57 ms;1.61 ms;13.22 Mbit/s;12.13 Mbit/s;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
23/12/14 00:48;6.51 Mbit/s;7.95 Mbit/s;6.24 ms;7.15 ms;7.13 Mbit/s;8.31 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 23:48;12.25 Mbit/s;14.26 Mbit/s;2.69 ms;1.68 ms;13.21 Mbit/s;15.33 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:48;11.88 Mbit/s;16.97 Mbit/s;5.8 ms;11.1 ms;13.03 Mbit/s;17.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:48;10.11 Mbit/s;14.63 Mbit/s;2.33 ms;6.39 ms;11.37 Mbit/s;15.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:48;10.68 Mbit/s;7.3 Mbit/s;31.31 ms;3.29 ms;12.15 Mbit/s;7.76 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 19:48;3.55 Mbit/s;2.84 Mbit/s;8.23 ms;16.55 ms;3.73 Mbit/s;3.04 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 17:48;5.22 Mbit/s;4.23 Mbit/s;14.18 ms;12.91 ms;4.37 Mbit/s;4.48 Mbit/s;2.8 %;2.8 %;PTT Metro de Curitiba;;;;;
22/12/14 16:48;3.77 Mbit/s;6.81 Mbit/s;11.89 ms;5.99 ms;4.09 Mbit/s;7.23 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
