dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:44;23.36 Mbit/s;29.35 Mbit/s;< 1 ms;< 1 ms;20.12 Mbit/s;30.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:44;23.41 Mbit/s;20.4 Mbit/s;1.36 ms;< 1 ms;25.24 Mbit/s;22.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 05:44;22.92 Mbit/s;20.5 Mbit/s;< 1 ms;< 1 ms;25.02 Mbit/s;20.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:44;23.21 Mbit/s;26.01 Mbit/s;< 1 ms;< 1 ms;25.21 Mbit/s;27.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:44;23.6 Mbit/s;31.48 Mbit/s;< 1 ms;1.1 ms;25.26 Mbit/s;33.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 02:44;22.86 Mbit/s;30.56 Mbit/s;< 1 ms;< 1 ms;23.91 Mbit/s;32.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:44;22.76 Mbit/s;27.1 Mbit/s;< 1 ms;< 1 ms;25.03 Mbit/s;28.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:44;23.93 Mbit/s;31.39 Mbit/s;< 1 ms;< 1 ms;25.71 Mbit/s;29.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:44;22.0 Mbit/s;23.37 Mbit/s;< 1 ms;54.54 ms;23.78 Mbit/s;24.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:44;23.94 Mbit/s;31.64 Mbit/s;< 1 ms;< 1 ms;26.23 Mbit/s;31.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 21:44;18.36 Mbit/s;32.55 Mbit/s;7.46 ms;< 1 ms;21.68 Mbit/s;27.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:44;23.48 Mbit/s;32.06 Mbit/s;< 1 ms;< 1 ms;25.61 Mbit/s;33.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 19:44;20.34 Mbit/s;32.07 Mbit/s;< 1 ms;< 1 ms;14.63 Mbit/s;23.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 18:44;7.68 Mbit/s;19.06 Mbit/s;< 1 ms;3.38 ms;8.32 Mbit/s;20.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
