dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
05/01/15 23:03;11.67 Mbit/s;21.24 Mbit/s;1.82 ms;9.99 ms;12.96 Mbit/s;19.82 Mbit/s;5.15 %;5.15 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/01/15 20:03;11.64 Mbit/s;12.38 Mbit/s;23.46 ms;38.93 ms;13.49 Mbit/s;9.76 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 17:03;18.27 Mbit/s;22.15 Mbit/s;5.26 ms;2.21 ms;21.22 Mbit/s;19.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 14:03;13.69 Mbit/s;12.86 Mbit/s;11.28 ms;44.42 ms;12.45 Mbit/s;5.72 Mbit/s;0.74 %;0.74 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
05/01/15 11:03;13.39 Mbit/s;13.52 Mbit/s;19.6 ms;21.52 ms;15.67 Mbit/s;7.18 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 08:03;15.23 Mbit/s;14.96 Mbit/s;31.5 ms;44.9 ms;14.66 Mbit/s;6.28 Mbit/s;7.35 %;7.35 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/01/15 05:03;10.72 Mbit/s;14.68 Mbit/s;< 1 ms;23.2 ms;12.41 Mbit/s;9.13 Mbit/s;6.77 %;6.77 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 02:03;14.28 Mbit/s;14.17 Mbit/s;17.63 ms;21.56 ms;16.43 Mbit/s;9.36 Mbit/s;2.05 %;2.05 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 23:07;24.5 Mbit/s;16.34 Mbit/s;1.21 ms;14.63 ms;26.37 Mbit/s;17.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/01/15 20:03;24.23 Mbit/s;22.51 Mbit/s;6.66 ms;1.31 ms;28.54 Mbit/s;22.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/01/15 17:06;22.13 Mbit/s;21.59 Mbit/s;< 1 ms;2.49 ms;15.27 Mbit/s;22.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
04/01/15 14:07;24.14 Mbit/s;24.72 Mbit/s;2.39 ms;8.42 ms;25.69 Mbit/s;22.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 11:07;25.07 Mbit/s;24.22 Mbit/s;< 1 ms;1.24 ms;26.02 Mbit/s;21.64 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/01/15 08:07;25.49 Mbit/s;25.32 Mbit/s;< 1 ms;1.97 ms;26.14 Mbit/s;22.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
