dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
12/01/15 23:42;15.37 Mbit/s;22.23 Mbit/s;< 1 ms;1.95 ms;15.28 Mbit/s;22.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 22:42;18.41 Mbit/s;24.22 Mbit/s;< 1 ms;1.42 ms;18.2 Mbit/s;25.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 21:42;16.3 Mbit/s;13.93 Mbit/s;2.22 ms;< 1 ms;15.32 Mbit/s;15.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/01/15 20:42;4.34 Mbit/s;21.22 Mbit/s;3.49 ms;4.01 ms;1.9 Mbit/s;16.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 19:42;1.11 Mbit/s;1.17 Mbit/s;13.2 ms;4.29 ms;1.04 Mbit/s;1.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
12/01/15 18:42;18.19 Mbit/s;23.28 Mbit/s;12.1 ms;5.18 ms;19.13 Mbit/s;24.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 16:42;15.84 Mbit/s;23.07 Mbit/s;< 1 ms;< 1 ms;16.68 Mbit/s;24.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/01/15 15:42;14.82 Mbit/s;19.19 Mbit/s;< 1 ms;2.95 ms;16.05 Mbit/s;20.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 14:42;17.7 Mbit/s;22.51 Mbit/s;< 1 ms;< 1 ms;17.74 Mbit/s;24.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 13:42;7.06 Mbit/s;17.6 Mbit/s;< 1 ms;< 1 ms;8.39 Mbit/s;14.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 12:42;13.06 Mbit/s;22.7 Mbit/s;< 1 ms;< 1 ms;14.37 Mbit/s;24.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 11:42;16.61 Mbit/s;13.12 Mbit/s;20.98 ms;3.67 ms;17.84 Mbit/s;14.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 10:42;16.61 Mbit/s;23.63 Mbit/s;< 1 ms;< 1 ms;17.77 Mbit/s;24.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/01/15 09:42;17.26 Mbit/s;23.06 Mbit/s;1.01 ms;< 1 ms;17.03 Mbit/s;24.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/01/15 08:42;16.18 Mbit/s;20.64 Mbit/s;< 1 ms;13.27 ms;16.71 Mbit/s;21.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/01/15 07:42;17.07 Mbit/s;11.77 Mbit/s;18.91 ms;< 1 ms;13.91 Mbit/s;12.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/01/15 06:42;16.38 Mbit/s;23.58 Mbit/s;< 1 ms;< 1 ms;17.75 Mbit/s;22.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
