dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:42;21.1 Mbit/s;26.76 Mbit/s;< 1 ms;< 1 ms;23.28 Mbit/s;23.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 06:42;23.38 Mbit/s;32.36 Mbit/s;< 1 ms;4.58 ms;24.0 Mbit/s;33.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:42;24.03 Mbit/s;33.16 Mbit/s;< 1 ms;< 1 ms;26.01 Mbit/s;34.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 04:42;22.47 Mbit/s;32.91 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;34.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:42;24.43 Mbit/s;33.05 Mbit/s;1.06 ms;< 1 ms;26.4 Mbit/s;34.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 02:42;19.92 Mbit/s;32.83 Mbit/s;< 1 ms;< 1 ms;21.91 Mbit/s;31.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:42;22.34 Mbit/s;33.05 Mbit/s;< 1 ms;< 1 ms;20.37 Mbit/s;34.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:42;24.16 Mbit/s;33.34 Mbit/s;< 1 ms;< 1 ms;26.22 Mbit/s;34.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:42;23.34 Mbit/s;31.02 Mbit/s;< 1 ms;3.6 ms;25.4 Mbit/s;32.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 22:42;19.67 Mbit/s;32.55 Mbit/s;< 1 ms;< 1 ms;21.54 Mbit/s;34.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:42;23.79 Mbit/s;33.55 Mbit/s;< 1 ms;1.12 ms;25.36 Mbit/s;34.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:42;24.67 Mbit/s;31.73 Mbit/s;< 1 ms;23.28 ms;26.57 Mbit/s;31.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 19:42;22.1 Mbit/s;33.32 Mbit/s;< 1 ms;< 1 ms;23.91 Mbit/s;34.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 18:42;24.25 Mbit/s;30.93 Mbit/s;< 1 ms;< 1 ms;23.58 Mbit/s;30.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 17:42;21.43 Mbit/s;31.83 Mbit/s;4.5 ms;< 1 ms;21.76 Mbit/s;33.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 16:42;21.87 Mbit/s;32.25 Mbit/s;10.07 ms;5.03 ms;22.34 Mbit/s;33.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 15:42;24.61 Mbit/s;31.89 Mbit/s;< 1 ms;18.75 ms;26.61 Mbit/s;32.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 14:42;22.12 Mbit/s;32.22 Mbit/s;< 1 ms;< 1 ms;23.75 Mbit/s;33.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 13:42;22.9 Mbit/s;30.94 Mbit/s;1.33 ms;< 1 ms;21.64 Mbit/s;32.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 12:42;8.43 Mbit/s;28.61 Mbit/s;< 1 ms;4.66 ms;9.25 Mbit/s;28.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
