dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
30/12/14 01:01;25.42 Mbit/s;25.57 Mbit/s;1.22 ms;< 1 ms;25.19 Mbit/s;23.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/12/14 00:01;23.87 Mbit/s;25.43 Mbit/s;< 1 ms;1.05 ms;24.89 Mbit/s;23.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/12/14 22:01;25.06 Mbit/s;25.54 Mbit/s;< 1 ms;< 1 ms;25.46 Mbit/s;22.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/12/14 19:01;6.41 Mbit/s;19.83 Mbit/s;< 1 ms;7.41 ms;6.87 Mbit/s;15.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
29/12/14 18:01;12.34 Mbit/s;20.82 Mbit/s;< 1 ms;7.81 ms;13.92 Mbit/s;16.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/12/14 17:01;2.85 Mbit/s;10.57 Mbit/s;3.0 ms;6.72 ms;3.12 Mbit/s;10.1 Mbit/s;0.68 %;0.68 %;PTT Metro de Curitiba;;;;;
29/12/14 16:01;15.2 Mbit/s;17.04 Mbit/s;3.16 ms;12.54 ms;16.66 Mbit/s;11.16 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 15:01;8.21 Mbit/s;11.15 Mbit/s;10.61 ms;11.66 ms;9.28 Mbit/s;7.64 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/12/14 14:01;21.81 Mbit/s;20.36 Mbit/s;8.3 ms;6.44 ms;22.39 Mbit/s;18.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/12/14 13:01;18.85 Mbit/s;16.35 Mbit/s;7.32 ms;2.22 ms;20.73 Mbit/s;15.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 12:01;11.48 Mbit/s;16.76 Mbit/s;69.53 ms;16.1 ms;12.84 Mbit/s;11.84 Mbit/s;2.27 %;2.27 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/12/14 08:01;19.1 Mbit/s;17.32 Mbit/s;< 1 ms;2.18 ms;21.19 Mbit/s;17.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 07:02;20.06 Mbit/s;18.42 Mbit/s;6.94 ms;3.47 ms;20.96 Mbit/s;17.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/12/14 19:01;20.22 Mbit/s;21.22 Mbit/s;< 1 ms;< 1 ms;21.17 Mbit/s;19.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/12/14 18:01;23.02 Mbit/s;24.16 Mbit/s;7.08 ms;1.82 ms;-;19.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/12/14 17:01;24.53 Mbit/s;23.11 Mbit/s;< 1 ms;1.37 ms;25.79 Mbit/s;21.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/12/14 16:01;19.45 Mbit/s;23.67 Mbit/s;< 1 ms;1.53 ms;20.52 Mbit/s;21.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/12/14 15:01;17.8 Mbit/s;10.3 Mbit/s;14.11 ms;15.15 ms;-;10.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
28/12/14 14:01;-;4.06 Mbit/s;2.55 ms;1.47 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/12/14 13:01;21.2 Mbit/s;22.09 Mbit/s;< 1 ms;8.78 ms;23.45 Mbit/s;20.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
28/12/14 04:01;23.48 Mbit/s;25.14 Mbit/s;< 1 ms;< 1 ms;24.68 Mbit/s;7.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;29/12/14 21:15;5.11 ms;null;false;
;;;;;;;;;;29/12/14 20:15;5.86 ms;null;false;
;;;;;;;;;;29/12/14 19:15;18.34 ms;null;false;
;;;;;;;;;;29/12/14 12:15;5.09 ms;null;false;
;;;;;;;;;;29/12/14 08:15;13.63 ms;null;false;
;;;;;;;;;;29/12/14 06:15;4.08 ms;null;false;
;;;;;;;;;;29/12/14 04:15;17.82 ms;null;false;
;;;;;;;;;;29/12/14 02:15;3.79 ms;null;false;
;;;;;;;;;;28/12/14 20:15;4.39 ms;null;false;
;;;;;;;;;;28/12/14 19:15;35.22 ms;null;false;
;;;;;;;;;;28/12/14 18:15;7.78 ms;null;false;
;;;;;;;;;;28/12/14 11:15;4.21 ms;null;false;
;;;;;;;;;;28/12/14 10:15;20.42 ms;null;false;
;;;;;;;;;;28/12/14 08:15;3.58 ms;null;false;
;;;;;;;;;;28/12/14 06:15;4.92 ms;null;false;
