dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
15/01/15 23:23;16.1 Mbit/s;21.51 Mbit/s;< 1 ms;2.55 ms;12.34 Mbit/s;21.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
15/01/15 22:23;15.06 Mbit/s;15.92 Mbit/s;23.24 ms;18.51 ms;8.63 Mbit/s;16.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
15/01/15 21:23;14.6 Mbit/s;16.3 Mbit/s;16.16 ms;5.83 ms;14.56 Mbit/s;17.34 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
15/01/15 20:23;11.22 Mbit/s;21.3 Mbit/s;18.61 ms;7.23 ms;8.54 Mbit/s;21.31 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
15/01/15 19:23;13.19 Mbit/s;19.41 Mbit/s;34.98 ms;5.0 ms;7.69 Mbit/s;8.61 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
15/01/15 18:23;16.34 Mbit/s;20.61 Mbit/s;5.18 ms;< 1 ms;16.13 Mbit/s;22.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
15/01/15 17:23;14.22 Mbit/s;19.69 Mbit/s;39.74 ms;1.41 ms;3.79 Mbit/s;20.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
15/01/15 16:23;15.89 Mbit/s;15.04 Mbit/s;5.15 ms;21.02 ms;12.02 Mbit/s;10.61 Mbit/s;1.4 %;1.4 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
15/01/15 15:23;3.08 Mbit/s;14.67 Mbit/s;6.68 ms;1.57 ms;3.27 Mbit/s;15.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
15/01/15 14:23;12.68 Mbit/s;23.61 Mbit/s;< 1 ms;2.34 ms;13.43 Mbit/s;21.37 Mbit/s;1.4 %;1.4 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
15/01/15 13:23;19.7 Mbit/s;21.64 Mbit/s;2.47 ms;4.11 ms;22.0 Mbit/s;21.82 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
15/01/15 12:23;7.19 Mbit/s;9.11 Mbit/s;2.84 ms;7.3 ms;6.44 Mbit/s;9.45 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
15/01/15 11:23;1.29 Mbit/s;3.81 Mbit/s;5.28 ms;1.33 ms;184.62 kbit/s;3.86 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
15/01/15 10:23;14.6 Mbit/s;13.08 Mbit/s;< 1 ms;< 1 ms;9.98 Mbit/s;13.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
15/01/15 09:23;13.64 Mbit/s;20.9 Mbit/s;< 1 ms;2.63 ms;14.11 Mbit/s;21.34 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
