dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:23;23.25 Mbit/s;33.03 Mbit/s;1.34 ms;< 1 ms;25.5 Mbit/s;34.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:23;23.69 Mbit/s;32.22 Mbit/s;< 1 ms;< 1 ms;25.75 Mbit/s;34.18 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:23;23.45 Mbit/s;32.73 Mbit/s;< 1 ms;< 1 ms;25.29 Mbit/s;34.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:23;24.52 Mbit/s;32.84 Mbit/s;< 1 ms;< 1 ms;26.65 Mbit/s;34.52 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:23;24.86 Mbit/s;32.96 Mbit/s;< 1 ms;< 1 ms;26.63 Mbit/s;34.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:23;24.67 Mbit/s;32.72 Mbit/s;< 1 ms;< 1 ms;21.19 Mbit/s;34.52 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:23;25.13 Mbit/s;33.27 Mbit/s;< 1 ms;< 1 ms;27.01 Mbit/s;34.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:23;5.39 Mbit/s;29.89 Mbit/s;< 1 ms;< 1 ms;2.69 Mbit/s;31.74 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:27;-;-;< 1 ms;< 1 ms;-;-;36.56 %;36.56 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 21:23;-;-;-;1.75 ms;-;-;24.76 %;24.76 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
