dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
06/01/15 23:23;16.65 Mbit/s;21.46 Mbit/s;< 1 ms;< 1 ms;16.69 Mbit/s;22.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 22:23;16.77 Mbit/s;21.45 Mbit/s;7.19 ms;1.47 ms;11.94 Mbit/s;22.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 21:23;14.23 Mbit/s;20.35 Mbit/s;1.4 ms;1.3 ms;10.99 Mbit/s;20.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 20:23;13.92 Mbit/s;18.57 Mbit/s;< 1 ms;1.48 ms;12.6 Mbit/s;19.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 19:23;12.47 Mbit/s;6.44 Mbit/s;< 1 ms;4.82 ms;6.95 Mbit/s;6.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 18:23;3.58 Mbit/s;15.27 Mbit/s;6.9 ms;5.81 ms;3.84 Mbit/s;15.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 17:24;8.5 Mbit/s;10.12 Mbit/s;2.09 ms;2.36 ms;7.47 Mbit/s;10.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 16:23;14.21 Mbit/s;18.14 Mbit/s;1.2 ms;7.71 ms;13.17 Mbit/s;18.05 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 15:25;15.18 Mbit/s;15.91 Mbit/s;3.24 ms;1.07 ms;10.17 Mbit/s;16.95 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 14:23;14.39 Mbit/s;13.42 Mbit/s;< 1 ms;17.11 ms;13.39 Mbit/s;14.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 13:23;7.16 Mbit/s;11.96 Mbit/s;46.74 ms;14.64 ms;4.87 Mbit/s;9.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 12:23;13.26 Mbit/s;15.75 Mbit/s;4.44 ms;32.76 ms;12.74 Mbit/s;16.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 11:23;12.26 Mbit/s;17.01 Mbit/s;33.1 ms;14.16 ms;12.14 Mbit/s;14.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 10:23;16.05 Mbit/s;12.63 Mbit/s;< 1 ms;3.36 ms;13.17 Mbit/s;12.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 09:23;14.62 Mbit/s;18.24 Mbit/s;1.44 ms;< 1 ms;12.91 Mbit/s;19.3 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 08:23;11.83 Mbit/s;19.99 Mbit/s;2.89 ms;27.74 ms;11.19 Mbit/s;20.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 07:23;8.29 Mbit/s;4.53 Mbit/s;3.96 ms;17.51 ms;3.47 Mbit/s;4.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 06:23;4.61 Mbit/s;9.16 Mbit/s;55.46 ms;1.08 ms;-;9.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 05:23;443.35 kbit/s;1.68 Mbit/s;27.02 ms;23.97 ms;305.45 kbit/s;1.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 04:23;15.53 Mbit/s;21.81 Mbit/s;< 1 ms;< 1 ms;16.4 Mbit/s;23.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 03:23;17.04 Mbit/s;21.58 Mbit/s;< 1 ms;< 1 ms;17.25 Mbit/s;22.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 02:23;17.01 Mbit/s;21.7 Mbit/s;< 1 ms;< 1 ms;17.39 Mbit/s;22.95 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 01:23;17.0 Mbit/s;21.95 Mbit/s;< 1 ms;< 1 ms;17.03 Mbit/s;22.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 00:23;16.38 Mbit/s;17.41 Mbit/s;< 1 ms;1.12 ms;15.53 Mbit/s;18.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 23:23;9.19 Mbit/s;20.2 Mbit/s;< 1 ms;< 1 ms;10.06 Mbit/s;21.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/01/15 22:23;16.14 Mbit/s;12.74 Mbit/s;10.59 ms;6.95 ms;14.04 Mbit/s;9.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/01/15 21:23;16.99 Mbit/s;20.97 Mbit/s;2.7 ms;3.19 ms;15.34 Mbit/s;22.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/01/15 20:23;7.7 Mbit/s;14.45 Mbit/s;2.0 ms;10.64 ms;5.55 Mbit/s;15.25 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
05/01/15 19:23;11.22 Mbit/s;10.53 Mbit/s;9.82 ms;1.93 ms;11.32 Mbit/s;11.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/01/15 18:23;3.17 Mbit/s;16.8 Mbit/s;< 1 ms;1.8 ms;3.5 Mbit/s;16.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 17:23;16.82 Mbit/s;18.94 Mbit/s;3.46 ms;< 1 ms;13.91 Mbit/s;19.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/01/15 16:23;14.76 Mbit/s;19.09 Mbit/s;27.26 ms;1.7 ms;10.48 Mbit/s;20.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/01/15 15:24;11.07 Mbit/s;15.06 Mbit/s;< 1 ms;2.08 ms;9.0 Mbit/s;15.99 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/01/15 14:23;12.12 Mbit/s;18.64 Mbit/s;1.63 ms;3.2 ms;12.36 Mbit/s;18.59 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
