dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:23;21.58 Mbit/s;17.29 Mbit/s;36.72 ms;7.6 ms;22.76 Mbit/s;18.36 Mbit/s;0.67 %;0.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
23/12/14 06:29;21.82 Mbit/s;20.72 Mbit/s;2.68 ms;1.74 ms;23.06 Mbit/s;22.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 05:23;22.1 Mbit/s;21.12 Mbit/s;< 1 ms;< 1 ms;23.12 Mbit/s;22.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:23;22.01 Mbit/s;20.99 Mbit/s;< 1 ms;< 1 ms;23.24 Mbit/s;22.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:23;21.09 Mbit/s;20.55 Mbit/s;1.2 ms;4.83 ms;20.04 Mbit/s;21.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:23;22.17 Mbit/s;19.78 Mbit/s;20.56 ms;< 1 ms;23.19 Mbit/s;17.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:23;14.86 Mbit/s;21.64 Mbit/s;< 1 ms;1.03 ms;15.95 Mbit/s;15.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
23/12/14 00:23;22.23 Mbit/s;21.33 Mbit/s;< 1 ms;2.17 ms;23.28 Mbit/s;21.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:23;22.07 Mbit/s;21.66 Mbit/s;36.09 ms;36.02 ms;23.48 Mbit/s;23.01 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 22:24;21.95 Mbit/s;21.16 Mbit/s;< 1 ms;17.85 ms;23.19 Mbit/s;22.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:23;22.31 Mbit/s;20.61 Mbit/s;< 1 ms;4.51 ms;22.78 Mbit/s;21.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:23;20.84 Mbit/s;21.28 Mbit/s;< 1 ms;2.72 ms;22.35 Mbit/s;22.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 19:23;21.82 Mbit/s;20.06 Mbit/s;8.76 ms;14.26 ms;23.0 Mbit/s;21.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 18:23;21.17 Mbit/s;19.44 Mbit/s;1.86 ms;15.28 ms;22.46 Mbit/s;20.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 17:23;21.01 Mbit/s;17.41 Mbit/s;15.79 ms;9.73 ms;22.48 Mbit/s;18.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 16:23;20.98 Mbit/s;19.24 Mbit/s;8.99 ms;30.12 ms;22.13 Mbit/s;19.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:23;21.22 Mbit/s;18.0 Mbit/s;5.99 ms;3.52 ms;20.4 Mbit/s;19.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 14:23;14.05 Mbit/s;11.63 Mbit/s;8.67 ms;11.75 ms;14.4 Mbit/s;12.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 13:23;15.79 Mbit/s;20.51 Mbit/s;1.69 ms;32.52 ms;13.72 Mbit/s;21.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 12:23;17.18 Mbit/s;14.96 Mbit/s;5.43 ms;18.53 ms;15.35 Mbit/s;16.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
