dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
26/12/14 23:24;12.17 Mbit/s;10.83 Mbit/s;11.36 ms;6.96 ms;13.18 Mbit/s;10.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 22:24;18.77 Mbit/s;19.21 Mbit/s;1.89 ms;2.46 ms;20.2 Mbit/s;11.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 21:24;11.03 Mbit/s;14.31 Mbit/s;8.28 ms;13.48 ms;11.82 Mbit/s;14.39 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 20:24;5.16 Mbit/s;7.7 Mbit/s;9.51 ms;9.3 ms;5.66 Mbit/s;7.31 Mbit/s;1.37 %;1.37 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 19:24;6.35 Mbit/s;6.82 Mbit/s;9.89 ms;13.6 ms;6.94 Mbit/s;7.1 Mbit/s;2.14 %;2.14 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 18:24;9.07 Mbit/s;10.23 Mbit/s;2.55 ms;4.93 ms;9.85 Mbit/s;10.78 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 17:24;11.43 Mbit/s;16.99 Mbit/s;5.37 ms;4.89 ms;12.26 Mbit/s;15.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 16:24;8.26 Mbit/s;16.18 Mbit/s;6.85 ms;16.61 ms;8.93 Mbit/s;9.37 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 15:24;15.72 Mbit/s;20.2 Mbit/s;5.28 ms;2.81 ms;16.98 Mbit/s;19.69 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 14:24;11.46 Mbit/s;12.07 Mbit/s;1.01 ms;4.54 ms;12.34 Mbit/s;12.79 Mbit/s;7.35 %;7.35 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 13:24;12.08 Mbit/s;15.16 Mbit/s;5.3 ms;12.99 ms;13.11 Mbit/s;15.73 Mbit/s;6.52 %;6.52 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 12:24;16.02 Mbit/s;13.71 Mbit/s;5.19 ms;13.37 ms;17.01 Mbit/s;12.14 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 11:24;15.81 Mbit/s;17.09 Mbit/s;12.64 ms;4.15 ms;17.19 Mbit/s;17.25 Mbit/s;3.52 %;3.52 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 10:24;16.33 Mbit/s;16.93 Mbit/s;20.73 ms;2.59 ms;17.13 Mbit/s;14.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 06:24;25.29 Mbit/s;24.13 Mbit/s;1.34 ms;1.7 ms;26.56 Mbit/s;25.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 05:24;25.42 Mbit/s;24.43 Mbit/s;2.02 ms;< 1 ms;26.11 Mbit/s;25.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 04:24;18.6 Mbit/s;18.87 Mbit/s;1.11 ms;2.31 ms;19.62 Mbit/s;20.13 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 03:24;22.38 Mbit/s;23.08 Mbit/s;8.06 ms;2.83 ms;23.4 Mbit/s;24.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 02:24;17.65 Mbit/s;17.88 Mbit/s;1.53 ms;1.09 ms;19.09 Mbit/s;18.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 01:24;21.52 Mbit/s;22.97 Mbit/s;1.94 ms;1.63 ms;22.79 Mbit/s;22.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
