dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
06/01/15 23:25;15.68 Mbit/s;10.16 Mbit/s;18.31 ms;2.82 ms;15.56 Mbit/s;10.1 Mbit/s;0.67 %;0.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
06/01/15 22:25;9.89 Mbit/s;6.17 Mbit/s;19.24 ms;4.02 ms;9.68 Mbit/s;6.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
06/01/15 21:25;8.53 Mbit/s;3.11 Mbit/s;15.01 ms;7.1 ms;7.71 Mbit/s;3.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
06/01/15 20:25;31.1 Mbit/s;13.89 Mbit/s;2.25 ms;1.51 ms;29.66 Mbit/s;14.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 19:25;35.55 Mbit/s;24.1 Mbit/s;1.99 ms;1.15 ms;35.12 Mbit/s;22.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 18:25;32.08 Mbit/s;19.47 Mbit/s;3.95 ms;1.43 ms;29.96 Mbit/s;18.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 17:25;33.28 Mbit/s;17.47 Mbit/s;< 1 ms;< 1 ms;35.83 Mbit/s;16.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 16:25;20.17 Mbit/s;11.49 Mbit/s;4.05 ms;2.03 ms;18.5 Mbit/s;11.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 15:25;27.19 Mbit/s;21.56 Mbit/s;1.26 ms;< 1 ms;27.51 Mbit/s;20.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 14:25;28.27 Mbit/s;14.5 Mbit/s;< 1 ms;3.16 ms;27.51 Mbit/s;14.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 13:25;29.03 Mbit/s;21.41 Mbit/s;6.51 ms;1.43 ms;31.93 Mbit/s;22.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 12:25;29.46 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;31.8 Mbit/s;24.6 Mbit/s;1.35 %;1.35 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 11:25;30.23 Mbit/s;25.17 Mbit/s;13.38 ms;6.95 ms;32.55 Mbit/s;26.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 10:25;36.47 Mbit/s;26.1 Mbit/s;5.2 ms;< 1 ms;39.31 Mbit/s;26.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 09:25;35.45 Mbit/s;26.83 Mbit/s;< 1 ms;< 1 ms;36.87 Mbit/s;27.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 08:25;33.29 Mbit/s;23.78 Mbit/s;5.46 ms;< 1 ms;35.52 Mbit/s;23.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
