dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:25;21.03 Mbit/s;6.79 Mbit/s;< 1 ms;< 1 ms;22.88 Mbit/s;7.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:25;16.26 Mbit/s;18.99 Mbit/s;1.07 ms;< 1 ms;17.73 Mbit/s;15.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:25;32.68 Mbit/s;30.67 Mbit/s;< 1 ms;< 1 ms;-;8.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 04:25;20.88 Mbit/s;14.28 Mbit/s;3.09 ms;1.33 ms;22.53 Mbit/s;13.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 03:25;26.59 Mbit/s;17.83 Mbit/s;< 1 ms;< 1 ms;28.81 Mbit/s;8.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:25;8.1 Mbit/s;8.09 Mbit/s;2.2 ms;6.23 ms;6.79 Mbit/s;6.09 Mbit/s;3.45 %;3.45 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:25;3.34 Mbit/s;4.52 Mbit/s;6.64 ms;15.73 ms;2.89 Mbit/s;2.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:25;1.51 Mbit/s;1.57 Mbit/s;26.39 ms;27.7 ms;1.56 Mbit/s;1.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:25;837.21 kbit/s;1.17 Mbit/s;52.01 ms;27.74 ms;890.18 kbit/s;1.22 Mbit/s;5.88 %;5.88 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 22:25;1.71 Mbit/s;2.27 Mbit/s;1.47 ms;1.03 ms;1.8 Mbit/s;2.03 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 20:25;14.55 Mbit/s;14.29 Mbit/s;2.45 ms;2.56 ms;14.9 Mbit/s;12.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 19:25;10.22 Mbit/s;13.1 Mbit/s;15.42 ms;14.1 ms;11.22 Mbit/s;7.99 Mbit/s;0.67 %;0.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 18:25;22.03 Mbit/s;17.78 Mbit/s;5.62 ms;8.24 ms;24.78 Mbit/s;11.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 17:25;15.2 Mbit/s;21.49 Mbit/s;5.01 ms;< 1 ms;16.49 Mbit/s;8.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 16:25;14.87 Mbit/s;12.62 Mbit/s;5.96 ms;6.35 ms;16.41 Mbit/s;9.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 15:25;7.07 Mbit/s;7.57 Mbit/s;24.46 ms;2.35 ms;7.41 Mbit/s;6.92 Mbit/s;2.04 %;2.04 %;PTT Metro de Curitiba;;;;;
22/12/14 14:25;21.36 Mbit/s;18.71 Mbit/s;39.42 ms;8.36 ms;21.02 Mbit/s;13.47 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 13:25;24.44 Mbit/s;10.9 Mbit/s;1.8 ms;< 1 ms;26.78 Mbit/s;10.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:25;10.56 Mbit/s;13.61 Mbit/s;1.29 ms;6.82 ms;11.63 Mbit/s;14.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 11:25;18.07 Mbit/s;17.73 Mbit/s;5.9 ms;7.77 ms;2.04 Mbit/s;9.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 10:25;17.26 Mbit/s;21.03 Mbit/s;1.04 ms;7.12 ms;18.66 Mbit/s;12.94 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 09:25;17.9 Mbit/s;16.83 Mbit/s;< 1 ms;3.88 ms;19.24 Mbit/s;9.16 Mbit/s;2.8 %;2.8 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 08:25;22.56 Mbit/s;19.8 Mbit/s;4.9 ms;5.45 ms;24.36 Mbit/s;10.05 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
;;;;;;;;;;23/12/14 07:39;1.61 ms;null;false;
;;;;;;;;;;23/12/14 06:39;4.26 ms;null;false;
;;;;;;;;;;23/12/14 05:39;1.92 ms;null;false;
;;;;;;;;;;23/12/14 04:39;1.29 ms;null;false;
;;;;;;;;;;23/12/14 03:39;10.8 ms;null;false;
;;;;;;;;;;23/12/14 02:39;30.26 ms;null;false;
;;;;;;;;;;23/12/14 01:39;1.43 ms;null;false;
