dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
26/12/14 21:04;-;-;-;12.19 ms;-;-;7.27 %;7.27 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 20:04;15.1 Mbit/s;30.44 Mbit/s;16.78 ms;1.99 ms;15.05 Mbit/s;19.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 19:04;15.38 Mbit/s;24.6 Mbit/s;5.06 ms;2.87 ms;13.92 Mbit/s;26.05 Mbit/s;2.08 %;2.08 %;PTT Metro de Campinas;;;;;
26/12/14 18:04;22.16 Mbit/s;30.85 Mbit/s;17.77 ms;3.15 ms;12.26 Mbit/s;30.67 Mbit/s;5.5 %;5.5 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 17:04;15.55 Mbit/s;34.68 Mbit/s;4.25 ms;9.0 ms;11.65 Mbit/s;33.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 16:04;14.79 Mbit/s;27.5 Mbit/s;1.23 ms;1.44 ms;-;29.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
26/12/14 15:04;27.71 Mbit/s;32.04 Mbit/s;< 1 ms;2.31 ms;-;33.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 14:04;22.26 Mbit/s;30.32 Mbit/s;5.8 ms;1.7 ms;-;30.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 13:04;18.19 Mbit/s;41.21 Mbit/s;< 1 ms;3.2 ms;10.99 Mbit/s;40.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 12:04;17.08 Mbit/s;33.97 Mbit/s;< 1 ms;< 1 ms;-;36.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 11:04;21.0 Mbit/s;45.2 Mbit/s;1.41 ms;1.71 ms;23.92 Mbit/s;43.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 10:05;18.34 Mbit/s;28.53 Mbit/s;< 1 ms;9.24 ms;-;29.82 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 09:04;24.88 Mbit/s;36.4 Mbit/s;< 1 ms;< 1 ms;-;38.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 08:04;23.98 Mbit/s;43.41 Mbit/s;2.77 ms;1.71 ms;-;46.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 07:04;24.95 Mbit/s;40.72 Mbit/s;7.78 ms;3.47 ms;-;43.85 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 06:04;24.24 Mbit/s;40.82 Mbit/s;1.13 ms;1.27 ms;-;43.44 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 05:04;25.54 Mbit/s;41.85 Mbit/s;< 1 ms;< 1 ms;-;43.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 04:04;21.98 Mbit/s;41.84 Mbit/s;< 1 ms;< 1 ms;-;42.91 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 03:04;24.73 Mbit/s;41.72 Mbit/s;4.63 ms;3.29 ms;-;43.48 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 02:04;18.91 Mbit/s;39.05 Mbit/s;< 1 ms;< 1 ms;-;34.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
