dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
30/12/14 23:43;26.63 Mbit/s;22.42 Mbit/s;5.74 ms;< 1 ms;19.53 Mbit/s;22.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 22:43;31.23 Mbit/s;19.84 Mbit/s;3.62 ms;1.7 ms;33.76 Mbit/s;21.19 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 21:43;31.85 Mbit/s;26.68 Mbit/s;< 1 ms;< 1 ms;11.52 Mbit/s;25.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/12/14 20:43;10.79 Mbit/s;18.75 Mbit/s;1.26 ms;< 1 ms;11.89 Mbit/s;17.42 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/12/14 19:43;20.53 Mbit/s;26.54 Mbit/s;< 1 ms;1.13 ms;22.34 Mbit/s;19.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 18:43;32.32 Mbit/s;24.76 Mbit/s;1.17 ms;< 1 ms;35.48 Mbit/s;18.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/12/14 17:43;16.23 Mbit/s;16.93 Mbit/s;2.62 ms;4.22 ms;17.86 Mbit/s;17.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
30/12/14 16:43;7.7 Mbit/s;12.8 Mbit/s;3.17 ms;7.11 ms;8.35 Mbit/s;13.62 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/12/14 15:43;16.33 Mbit/s;10.14 Mbit/s;1.55 ms;1.89 ms;17.52 Mbit/s;6.44 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/12/14 14:43;12.79 Mbit/s;14.93 Mbit/s;4.16 ms;3.49 ms;13.87 Mbit/s;16.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
