dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
28/12/14 00:21;3.21 Mbit/s;19.18 Mbit/s;< 1 ms;2.56 ms;2.94 Mbit/s;19.44 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 23:21;10.33 Mbit/s;17.7 Mbit/s;4.44 ms;1.67 ms;10.76 Mbit/s;14.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 22:22;4.52 Mbit/s;18.41 Mbit/s;2.52 ms;2.71 ms;4.26 Mbit/s;17.19 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/12/14 21:21;3.13 Mbit/s;19.28 Mbit/s;< 1 ms;1.39 ms;2.84 Mbit/s;18.32 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/12/14 20:22;472.84 kbit/s;18.59 Mbit/s;1.11 ms;3.31 ms;286.25 kbit/s;18.22 Mbit/s;4.44 %;4.44 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/12/14 19:21;10.45 Mbit/s;20.38 Mbit/s;< 1 ms;2.38 ms;10.49 Mbit/s;18.95 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/12/14 18:21;14.49 Mbit/s;13.98 Mbit/s;9.26 ms;1.97 ms;14.86 Mbit/s;13.77 Mbit/s;1.39 %;1.39 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/12/14 17:21;23.78 Mbit/s;14.12 Mbit/s;9.34 ms;1.09 ms;26.21 Mbit/s;14.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/12/14 16:21;12.79 Mbit/s;8.3 Mbit/s;1.08 ms;9.7 ms;13.95 Mbit/s;8.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/12/14 15:21;24.26 Mbit/s;17.74 Mbit/s;3.18 ms;< 1 ms;26.67 Mbit/s;17.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 14:21;23.03 Mbit/s;17.04 Mbit/s;38.35 ms;1.29 ms;25.21 Mbit/s;16.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 13:21;18.79 Mbit/s;22.17 Mbit/s;< 1 ms;3.33 ms;20.59 Mbit/s;19.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/12/14 12:21;19.32 Mbit/s;13.88 Mbit/s;4.86 ms;2.61 ms;21.03 Mbit/s;14.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/12/14 11:21;29.8 Mbit/s;24.05 Mbit/s;3.03 ms;5.52 ms;32.69 Mbit/s;22.35 Mbit/s;21.67 %;21.67 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 10:21;27.99 Mbit/s;19.83 Mbit/s;< 1 ms;< 1 ms;30.77 Mbit/s;18.12 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/12/14 09:21;30.59 Mbit/s;24.95 Mbit/s;1.1 ms;< 1 ms;33.74 Mbit/s;22.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 08:21;1.84 Mbit/s;20.81 Mbit/s;1.25 ms;1.25 ms;1.57 Mbit/s;19.77 Mbit/s;1.4 %;1.4 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
