dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
12/01/15 21:46;22.21 Mbit/s;28.18 Mbit/s;< 1 ms;< 1 ms;24.47 Mbit/s;29.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
12/01/15 12:46;5.0 Mbit/s;21.14 Mbit/s;< 1 ms;19.23 ms;5.33 Mbit/s;18.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/01/15 12:46;10.21 Mbit/s;13.19 Mbit/s;< 1 ms;< 1 ms;10.71 Mbit/s;12.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 09:46;16.72 Mbit/s;21.37 Mbit/s;64.79 ms;2.89 ms;17.41 Mbit/s;16.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/01/15 06:46;17.28 Mbit/s;23.31 Mbit/s;< 1 ms;< 1 ms;18.28 Mbit/s;16.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/01/15 03:46;18.3 Mbit/s;23.37 Mbit/s;< 1 ms;< 1 ms;18.57 Mbit/s;24.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 00:46;17.82 Mbit/s;23.31 Mbit/s;< 1 ms;< 1 ms;14.87 Mbit/s;19.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;13/01/15 00:00;1.5 ms;null;false;
;;;;;;;;;;12/01/15 23:00;1.09 ms;null;false;
;;;;;;;;;;12/01/15 22:00;1.88 ms;null;false;
;;;;;;;;;;12/01/15 21:00;1.8 ms;null;false;
;;;;;;;;;;12/01/15 13:00;1.65 ms;null;false;
;;;;;;;;;;12/01/15 12:00;3.27 ms;null;false;
;;;;;;;;;;12/01/15 11:00;1.22 ms;null;false;
;;;;;;;;;;12/01/15 10:00;1.42 ms;null;false;
;;;;;;;;;;11/01/15 13:00;14.63 ms;null;false;
;;;;;;;;;;11/01/15 12:00;3.26 ms;null;false;
;;;;;;;;;;11/01/15 11:00;122.87 ms;null;false;
;;;;;;;;;;11/01/15 10:00;2.48 ms;null;false;
;;;;;;;;;;11/01/15 09:00;1.23 ms;null;false;
;;;;;;;;;;11/01/15 08:00;2.02 ms;null;false;
;;;;;;;;;;11/01/15 07:00;1.49 ms;null;false;
;;;;;;;;;;11/01/15 06:00;1.1 ms;null;false;
;;;;;;;;;;11/01/15 05:00;1.1 ms;null;false;
;;;;;;;;;;11/01/15 04:00;1.21 ms;null;false;
;;;;;;;;;;11/01/15 03:00;37.16 ms;null;false;
;;;;;;;;;;11/01/15 02:00;1.09 ms;null;false;
;;;;;;;;;;11/01/15 01:00;1.07 ms;null;false;
