dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:26;30.7 Mbit/s;40.34 Mbit/s;< 1 ms;< 1 ms;31.56 Mbit/s;41.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:26;26.37 Mbit/s;35.07 Mbit/s;< 1 ms;9.39 ms;28.54 Mbit/s;31.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 01:26;29.9 Mbit/s;39.36 Mbit/s;1.09 ms;< 1 ms;32.55 Mbit/s;40.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:26;12.76 Mbit/s;34.92 Mbit/s;< 1 ms;< 1 ms;14.02 Mbit/s;36.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 19:26;11.46 Mbit/s;29.35 Mbit/s;1.54 ms;1.42 ms;12.42 Mbit/s;30.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 16:26;17.52 Mbit/s;31.76 Mbit/s;1.33 ms;3.86 ms;19.16 Mbit/s;5.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 13:26;15.59 Mbit/s;24.82 Mbit/s;4.03 ms;< 1 ms;15.68 Mbit/s;25.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 10:26;22.06 Mbit/s;32.22 Mbit/s;2.42 ms;4.14 ms;23.67 Mbit/s;33.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:40;2.53 ms;null;false;
;;;;;;;;;;23/12/14 06:40;1.71 ms;null;false;
;;;;;;;;;;23/12/14 05:40;4.33 ms;null;false;
;;;;;;;;;;23/12/14 04:40;1.24 ms;null;false;
;;;;;;;;;;23/12/14 03:40;2.16 ms;null;false;
;;;;;;;;;;23/12/14 02:40;3.03 ms;null;false;
;;;;;;;;;;23/12/14 01:40;2.51 ms;null;false;
;;;;;;;;;;23/12/14 00:40;2.88 ms;null;false;
;;;;;;;;;;22/12/14 23:40;2.52 ms;null;false;
;;;;;;;;;;22/12/14 22:40;3.54 ms;null;false;
;;;;;;;;;;22/12/14 21:40;2.38 ms;null;false;
;;;;;;;;;;22/12/14 20:40;5.26 ms;null;false;
;;;;;;;;;;22/12/14 19:40;4.53 ms;null;false;
;;;;;;;;;;22/12/14 18:40;6.91 ms;null;false;
;;;;;;;;;;22/12/14 17:40;3.47 ms;null;false;
;;;;;;;;;;22/12/14 16:40;5.06 ms;null;false;
;;;;;;;;;;22/12/14 15:40;10.69 ms;null;false;
;;;;;;;;;;22/12/14 14:40;8.98 ms;null;false;
;;;;;;;;;;22/12/14 13:40;12.51 ms;null;false;
;;;;;;;;;;22/12/14 12:40;4.19 ms;null;false;
;;;;;;;;;;22/12/14 11:40;2.58 ms;null;false;
;;;;;;;;;;22/12/14 10:40;1.28 ms;null;false;
;;;;;;;;;;22/12/14 09:40;2.46 ms;null;false;
;;;;;;;;;;22/12/14 08:40;1.62 ms;null;false;
