dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
18/01/15 23:23;1.68 Mbit/s;4.6 Mbit/s;26.53 ms;25.51 ms;1.14 Mbit/s;4.89 Mbit/s;2.1 %;2.1 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 22:23;8.05 Mbit/s;11.6 Mbit/s;55.94 ms;1.86 ms;8.21 Mbit/s;11.93 Mbit/s;5.97 %;5.97 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 21:24;-;478.82 kbit/s;367.2 ms;-;15.71 kbit/s;511.96 kbit/s;50.0 %;50.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 20:23;-;2.6 Mbit/s;39.13 ms;7.15 ms;-;-;29.29 %;29.29 %;PTT Metro de Curitiba;;;;;
18/01/15 19:23;27.38 kbit/s;2.95 Mbit/s;9.77 ms;3.1 ms;21.82 kbit/s;2.29 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 17:23;5.69 Mbit/s;5.16 Mbit/s;10.5 ms;2.06 ms;2.75 Mbit/s;5.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 16:23;3.3 Mbit/s;6.99 Mbit/s;36.72 ms;1.32 ms;3.05 Mbit/s;7.0 Mbit/s;6.98 %;6.98 %;PTT Metro de Curitiba;;;;;
18/01/15 15:23;170.6 kbit/s;511.44 kbit/s;68.44 ms;2.6 ms;130.04 kbit/s;446.84 kbit/s;51.22 %;51.22 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 14:23;272.75 kbit/s;706.14 kbit/s;64.39 ms;1.35 ms;249.6 kbit/s;647.73 kbit/s;46.59 %;46.59 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 13:23;889.86 kbit/s;3.17 Mbit/s;36.7 ms;1.18 ms;887.56 kbit/s;3.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 12:23;678.19 kbit/s;1.62 Mbit/s;10.73 ms;2.84 ms;407.56 kbit/s;1.63 Mbit/s;36.47 %;36.47 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 11:23;2.81 Mbit/s;11.46 Mbit/s;11.24 ms;2.6 ms;3.03 Mbit/s;11.58 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 10:23;-;775.43 kbit/s;125.63 ms;1.23 ms;-;-;9.85 %;9.85 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 09:24;269.59 kbit/s;974.89 kbit/s;75.16 ms;5.29 ms;203.35 kbit/s;1.03 Mbit/s;43.33 %;43.33 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 08:23;8.82 Mbit/s;11.29 Mbit/s;7.28 ms;2.4 ms;5.95 Mbit/s;11.46 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 07:23;5.02 Mbit/s;14.54 Mbit/s;7.17 ms;< 1 ms;5.14 Mbit/s;14.97 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 06:23;4.61 Mbit/s;7.45 Mbit/s;4.85 ms;2.7 ms;4.52 Mbit/s;7.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
18/01/15 05:23;5.9 Mbit/s;3.65 Mbit/s;13.45 ms;11.04 ms;6.42 Mbit/s;3.83 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 04:23;8.7 Mbit/s;13.6 Mbit/s;6.33 ms;2.32 ms;8.37 Mbit/s;14.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 03:23;421.24 kbit/s;9.53 Mbit/s;25.16 ms;2.0 ms;365.67 kbit/s;8.97 Mbit/s;8.59 %;8.59 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 02:23;5.16 Mbit/s;5.68 Mbit/s;9.19 ms;2.3 ms;1.42 Mbit/s;4.11 Mbit/s;13.22 %;13.22 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 01:23;433.87 kbit/s;519.12 kbit/s;24.49 ms;< 1 ms;306.29 kbit/s;550.63 kbit/s;3.55 %;3.55 %;PTT Metro de Curitiba;;;;;
18/01/15 00:23;-;1.0 Mbit/s;95.36 ms;2.1 ms;-;-;18.58 %;18.58 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/01/15 23:23;3.24 Mbit/s;4.92 Mbit/s;2.96 ms;< 1 ms;2.97 Mbit/s;5.23 Mbit/s;0.68 %;0.68 %;PTT Metro de Curitiba;;;;;
17/01/15 22:23;1.32 Mbit/s;2.53 Mbit/s;39.33 ms;1.93 ms;547.2 kbit/s;2.7 Mbit/s;7.63 %;7.63 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/01/15 21:25;-;-;-;1.69 ms;-;-;134.62 %;134.62 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
17/01/15 20:23;-;-;63.3 ms;6.97 ms;-;-;8.4 %;8.4 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/01/15 19:24;-;-;-;4.87 ms;-;-;40.45 %;40.45 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/01/15 18:23;-;244.39 kbit/s;51.47 ms;1.7 ms;-;-;30.77 %;30.77 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/01/15 17:24;448.62 kbit/s;887.76 kbit/s;201.42 ms;1.11 ms;-;955.26 kbit/s;14.29 %;14.29 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/01/15 16:23;21.06 kbit/s;2.52 Mbit/s;143.92 ms;1.35 ms;16.58 kbit/s;2.59 Mbit/s;44.58 %;44.58 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
17/01/15 14:25;-;-;48.07 ms;1.37 ms;-;-;14.08 %;14.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
17/01/15 12:23;347.52 kbit/s;944.5 kbit/s;93.04 ms;3.04 ms;-;1.0 Mbit/s;16.36 %;16.36 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/01/15 11:29;440.19 kbit/s;37.87 kbit/s;122.64 ms;1.8 ms;-;-;21.05 %;21.05 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/01/15 10:23;145.33 kbit/s;719.05 kbit/s;128.95 ms;-;97.75 kbit/s;711.21 kbit/s;43.21 %;43.21 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/01/15 09:24;341.2 kbit/s;2.65 Mbit/s;153.84 ms;1.47 ms;298.11 kbit/s;2.81 Mbit/s;31.18 %;31.18 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/01/15 08:23;3.34 Mbit/s;5.14 Mbit/s;28.4 ms;3.83 ms;3.26 Mbit/s;4.89 Mbit/s;9.6 %;9.6 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/01/15 06:23;7.48 Mbit/s;7.47 Mbit/s;17.48 ms;1.31 ms;7.27 Mbit/s;6.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
17/01/15 05:23;5.38 Mbit/s;6.56 Mbit/s;39.75 ms;< 1 ms;4.94 Mbit/s;6.03 Mbit/s;19.44 %;19.44 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/01/15 04:23;3.73 Mbit/s;4.17 Mbit/s;8.9 ms;1.51 ms;3.96 Mbit/s;4.2 Mbit/s;0.71 %;0.71 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/01/15 03:23;1.63 Mbit/s;7.67 Mbit/s;7.88 ms;1.99 ms;1.6 Mbit/s;7.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
17/01/15 02:24;5.91 Mbit/s;4.72 Mbit/s;32.07 ms;8.46 ms;6.41 Mbit/s;4.93 Mbit/s;11.21 %;11.21 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
17/01/15 01:23;3.62 Mbit/s;4.52 Mbit/s;44.68 ms;5.65 ms;549.49 kbit/s;2.38 Mbit/s;15.04 %;15.04 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/01/15 00:24;-;-;-;2.63 ms;-;-;16.51 %;16.51 %;PTT Metro de Curitiba;;;;;
;;;;;;;;;;18/01/15 23:37;130.28 ms;null;false;
;;;;;;;;;;18/01/15 22:37;76.91 ms;null;false;
;;;;;;;;;;18/01/15 21:37;1006.19 ms;null;false;
;;;;;;;;;;18/01/15 20:37;436.73 ms;null;false;
;;;;;;;;;;18/01/15 19:37;365.76 ms;null;false;
;;;;;;;;;;18/01/15 18:37;681.32 ms;null;false;
;;;;;;;;;;18/01/15 17:37;124.09 ms;null;false;
;;;;;;;;;;18/01/15 16:37;383.35 ms;null;false;
;;;;;;;;;;18/01/15 16:37;383.35 ms;null;false;
;;;;;;;;;;18/01/15 15:37;635.06 ms;null;false;
;;;;;;;;;;18/01/15 14:37;157.37 ms;null;false;
