dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:08;17.11 Mbit/s;1.41 Mbit/s;< 1 ms;< 1 ms;-;-;6.02 %;6.02 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:07;27.95 Mbit/s;1.6 Mbit/s;< 1 ms;1.34 ms;30.97 Mbit/s;1.01 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:07;23.9 Mbit/s;1.18 Mbit/s;< 1 ms;< 1 ms;26.36 Mbit/s;684.04 kbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:07;-;-;-;-;-;-;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:08;-;-;-;-;-;-;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:09;16.71 Mbit/s;782.66 kbit/s;< 1 ms;11.13 ms;-;372.88 kbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:07;18.91 Mbit/s;1.36 Mbit/s;< 1 ms;< 1 ms;15.69 Mbit/s;724.6 kbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 22:07;11.24 Mbit/s;427.5 kbit/s;5.36 ms;13.42 ms;10.79 Mbit/s;144.5 kbit/s;5.93 %;5.93 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:07;12.72 Mbit/s;809.96 kbit/s;27.06 ms;1.58 ms;22.77 Mbit/s;343.17 kbit/s;9.47 %;9.47 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 20:07;21.97 Mbit/s;1.04 Mbit/s;1.06 ms;9.85 ms;25.12 Mbit/s;518.35 kbit/s;6.62 %;6.62 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 19:07;19.35 Mbit/s;428.63 kbit/s;40.77 ms;23.98 ms;-;-;3.94 %;3.94 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 14:07;-;213.04 kbit/s;20.76 ms;47.66 ms;-;-;3.65 %;3.65 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 13:07;10.12 Mbit/s;1.44 Mbit/s;22.1 ms;2.51 ms;9.27 Mbit/s;893.25 kbit/s;3.6 %;3.6 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 12:07;6.9 Mbit/s;637.23 kbit/s;5.7 ms;12.66 ms;-;301.3 kbit/s;6.77 %;6.77 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 11:08;16.25 Mbit/s;932.89 kbit/s;4.51 ms;1.62 ms;11.9 Mbit/s;433.45 kbit/s;5.15 %;5.15 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 10:07;4.7 Mbit/s;798.62 kbit/s;10.8 ms;2.56 ms;5.38 Mbit/s;406.45 kbit/s;3.55 %;3.55 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:08;19.84 Mbit/s;400.71 kbit/s;4.15 ms;6.03 ms;-;159.54 kbit/s;7.69 %;7.69 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 08:07;-;-;-;-;-;-;12.2 %;12.2 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:14;89.25 ms;null;false;
;;;;;;;;;;23/12/14 06:14;25.27 ms;null;false;
;;;;;;;;;;23/12/14 05:14;7.56 ms;null;false;
;;;;;;;;;;23/12/14 04:14;3.47 ms;null;false;
;;;;;;;;;;23/12/14 03:14;3.76 ms;null;false;
;;;;;;;;;;23/12/14 02:14;3.67 ms;null;false;
;;;;;;;;;;23/12/14 01:14;148.87 ms;null;false;
;;;;;;;;;;23/12/14 00:14;21.49 ms;null;false;
;;;;;;;;;;22/12/14 23:14;6.55 ms;null;false;
;;;;;;;;;;22/12/14 22:14;5.6 ms;null;false;
;;;;;;;;;;22/12/14 21:14;718.45 ms;null;false;
;;;;;;;;;;22/12/14 20:14;146.58 ms;null;false;
;;;;;;;;;;22/12/14 19:14;4.95 ms;null;false;
;;;;;;;;;;22/12/14 17:14;3.23 ms;null;false;
;;;;;;;;;;22/12/14 14:14;125.99 ms;null;false;
;;;;;;;;;;22/12/14 13:14;2020.23 ms;null;false;
;;;;;;;;;;22/12/14 12:14;15.6 ms;null;false;
;;;;;;;;;;22/12/14 11:14;20.48 ms;null;false;
;;;;;;;;;;22/12/14 10:14;728.23 ms;null;false;
;;;;;;;;;;22/12/14 09:14;94.35 ms;null;false;
;;;;;;;;;;22/12/14 08:14;264.38 ms;null;false;
