dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:30;1.79 Mbit/s;1.53 Mbit/s;< 1 ms;1.51 ms;1.89 Mbit/s;1.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:30;1.8 Mbit/s;1.65 Mbit/s;< 1 ms;< 1 ms;1.9 Mbit/s;1.68 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 05:30;1.84 Mbit/s;1.62 Mbit/s;< 1 ms;< 1 ms;1.93 Mbit/s;1.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 04:30;1.85 Mbit/s;1.73 Mbit/s;< 1 ms;< 1 ms;1.92 Mbit/s;1.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 03:30;1.48 Mbit/s;1.8 Mbit/s;< 1 ms;< 1 ms;1.63 Mbit/s;1.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:30;1.83 Mbit/s;1.68 Mbit/s;< 1 ms;< 1 ms;1.91 Mbit/s;1.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:30;1.93 Mbit/s;1.76 Mbit/s;< 1 ms;1.34 ms;1.97 Mbit/s;1.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 00:30;1.89 Mbit/s;1.71 Mbit/s;< 1 ms;< 1 ms;1.95 Mbit/s;1.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 23:30;1.77 Mbit/s;1.68 Mbit/s;< 1 ms;< 1 ms;1.88 Mbit/s;1.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:30;1.86 Mbit/s;1.79 Mbit/s;< 1 ms;< 1 ms;1.93 Mbit/s;1.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
