dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
21/01/15 23:22;22.15 Mbit/s;11.25 Mbit/s;< 1 ms;1.52 ms;24.36 Mbit/s;12.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 22:22;7.69 Mbit/s;7.08 Mbit/s;< 1 ms;6.38 ms;8.43 Mbit/s;7.51 Mbit/s;2.1 %;2.1 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
21/01/15 21:22;33.84 Mbit/s;21.92 Mbit/s;1.97 ms;< 1 ms;36.9 Mbit/s;21.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 20:22;35.16 Mbit/s;23.3 Mbit/s;1.25 ms;< 1 ms;21.07 Mbit/s;21.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 19:22;27.02 Mbit/s;10.08 Mbit/s;< 1 ms;2.54 ms;29.67 Mbit/s;10.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 18:22;29.47 Mbit/s;21.04 Mbit/s;< 1 ms;< 1 ms;32.21 Mbit/s;21.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 17:22;32.82 Mbit/s;20.09 Mbit/s;1.07 ms;2.29 ms;26.36 Mbit/s;15.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 16:22;29.85 Mbit/s;18.78 Mbit/s;12.25 ms;6.26 ms;31.19 Mbit/s;20.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 15:22;28.99 Mbit/s;18.55 Mbit/s;< 1 ms;1.07 ms;10.92 Mbit/s;19.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
21/01/15 14:22;-;-;-;-;-;-;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 13:22;32.65 Mbit/s;17.0 Mbit/s;< 1 ms;1.09 ms;31.33 Mbit/s;17.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 12:22;128.48 kbit/s;6.22 Mbit/s;6.13 ms;2.31 ms;93.38 kbit/s;6.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 11:22;34.35 Mbit/s;19.03 Mbit/s;< 1 ms;1.5 ms;37.19 Mbit/s;20.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
21/01/15 10:22;24.24 Mbit/s;9.93 Mbit/s;3.08 ms;2.74 ms;19.38 Mbit/s;10.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
21/01/15 09:23;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 08:22;12.71 Mbit/s;7.28 Mbit/s;13.0 ms;2.61 ms;483.49 kbit/s;1.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 07:23;-;-;23.25 ms;-;-;-;2.99 %;2.99 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
21/01/15 06:22;28.59 Mbit/s;23.78 Mbit/s;< 1 ms;< 1 ms;31.42 Mbit/s;24.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
21/01/15 05:22;23.05 Mbit/s;16.58 Mbit/s;< 1 ms;< 1 ms;25.43 Mbit/s;17.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 04:22;30.38 Mbit/s;19.97 Mbit/s;< 1 ms;< 1 ms;32.96 Mbit/s;20.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 03:22;32.07 Mbit/s;28.74 Mbit/s;< 1 ms;< 1 ms;35.4 Mbit/s;30.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
21/01/15 02:22;32.04 Mbit/s;24.67 Mbit/s;< 1 ms;1.75 ms;35.1 Mbit/s;25.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 01:22;32.33 Mbit/s;26.61 Mbit/s;< 1 ms;< 1 ms;35.56 Mbit/s;27.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 00:22;32.47 Mbit/s;28.23 Mbit/s;< 1 ms;< 1 ms;35.72 Mbit/s;29.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
20/01/15 23:22;34.36 Mbit/s;23.7 Mbit/s;< 1 ms;< 1 ms;37.7 Mbit/s;24.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/01/15 22:22;33.2 Mbit/s;23.51 Mbit/s;< 1 ms;< 1 ms;36.31 Mbit/s;23.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/01/15 21:22;29.87 Mbit/s;20.85 Mbit/s;1.53 ms;2.6 ms;22.57 Mbit/s;18.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
20/01/15 19:22;16.99 Mbit/s;5.75 Mbit/s;11.43 ms;12.1 ms;9.27 Mbit/s;6.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/01/15 18:22;31.1 Mbit/s;24.91 Mbit/s;< 1 ms;3.71 ms;33.95 Mbit/s;19.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/01/15 17:22;23.72 Mbit/s;19.59 Mbit/s;< 1 ms;1.1 ms;25.66 Mbit/s;20.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
20/01/15 16:22;26.48 Mbit/s;13.82 Mbit/s;< 1 ms;11.02 ms;25.9 Mbit/s;14.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
20/01/15 15:22;28.3 Mbit/s;14.58 Mbit/s;1.19 ms;1.04 ms;24.16 Mbit/s;15.9 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
20/01/15 14:22;305.4 kbit/s;2.14 Mbit/s;22.87 ms;13.22 ms;168.44 kbit/s;2.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
20/01/15 13:25;15.95 Mbit/s;9.01 Mbit/s;26.36 ms;8.29 ms;15.68 Mbit/s;9.69 Mbit/s;6.72 %;6.72 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/01/15 11:22;27.1 Mbit/s;17.7 Mbit/s;< 1 ms;4.21 ms;29.68 Mbit/s;19.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
20/01/15 10:22;24.29 Mbit/s;13.6 Mbit/s;< 1 ms;2.59 ms;26.49 Mbit/s;12.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/01/15 09:22;15.62 Mbit/s;10.13 Mbit/s;2.48 ms;1.78 ms;16.14 Mbit/s;8.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/01/15 08:22;21.33 Mbit/s;14.62 Mbit/s;4.11 ms;2.42 ms;23.05 Mbit/s;13.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
20/01/15 07:22;21.96 Mbit/s;15.08 Mbit/s;< 1 ms;7.67 ms;21.49 Mbit/s;15.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/01/15 06:22;32.16 Mbit/s;22.39 Mbit/s;16.72 ms;1.04 ms;35.43 Mbit/s;22.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
20/01/15 05:22;29.91 Mbit/s;17.05 Mbit/s;< 1 ms;1.75 ms;32.93 Mbit/s;18.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
20/01/15 04:22;33.98 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;37.23 Mbit/s;25.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/01/15 03:22;33.48 Mbit/s;24.04 Mbit/s;< 1 ms;7.15 ms;31.84 Mbit/s;24.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/01/15 02:22;32.18 Mbit/s;22.79 Mbit/s;< 1 ms;< 1 ms;35.47 Mbit/s;23.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
20/01/15 01:22;35.75 Mbit/s;23.64 Mbit/s;2.77 ms;< 1 ms;39.4 Mbit/s;23.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/01/15 00:22;32.7 Mbit/s;24.48 Mbit/s;< 1 ms;6.99 ms;35.98 Mbit/s;24.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;21/01/15 23:36;1.87 ms;null;false;
;;;;;;;;;;21/01/15 22:36;2.7 ms;null;false;
;;;;;;;;;;21/01/15 21:36;2.08 ms;null;false;
;;;;;;;;;;21/01/15 20:36;5.45 ms;null;false;
;;;;;;;;;;21/01/15 19:36;8.81 ms;null;false;
;;;;;;;;;;21/01/15 18:36;28.82 ms;null;false;
;;;;;;;;;;21/01/15 17:36;2.63 ms;null;false;
;;;;;;;;;;21/01/15 16:36;18.82 ms;null;false;
