dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
27/12/14 23:44;17.03 Mbit/s;25.61 Mbit/s;3.51 ms;< 1 ms;18.16 Mbit/s;26.62 Mbit/s;2.08 %;2.08 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
27/12/14 22:44;23.39 Mbit/s;27.78 Mbit/s;3.38 ms;< 1 ms;11.17 Mbit/s;27.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/12/14 21:44;17.98 Mbit/s;21.25 Mbit/s;4.11 ms;1.66 ms;19.15 Mbit/s;20.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/12/14 20:44;16.87 Mbit/s;22.82 Mbit/s;6.34 ms;1.08 ms;16.2 Mbit/s;23.33 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
27/12/14 19:44;14.71 Mbit/s;21.68 Mbit/s;2.06 ms;1.5 ms;15.16 Mbit/s;22.39 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/12/14 18:44;18.19 Mbit/s;20.93 Mbit/s;2.04 ms;1.22 ms;16.96 Mbit/s;21.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/12/14 17:44;11.43 Mbit/s;22.51 Mbit/s;3.13 ms;< 1 ms;10.88 Mbit/s;22.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/12/14 16:44;7.7 Mbit/s;19.98 Mbit/s;3.7 ms;< 1 ms;8.45 Mbit/s;20.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/12/14 15:44;14.52 Mbit/s;20.46 Mbit/s;4.33 ms;< 1 ms;12.93 Mbit/s;20.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 14:44;9.28 Mbit/s;16.69 Mbit/s;2.3 ms;1.29 ms;9.89 Mbit/s;17.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 13:44;10.34 Mbit/s;19.17 Mbit/s;12.66 ms;1.15 ms;9.28 Mbit/s;19.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/12/14 12:44;13.02 Mbit/s;16.25 Mbit/s;2.68 ms;5.86 ms;11.57 Mbit/s;16.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 11:44;15.86 Mbit/s;19.85 Mbit/s;2.71 ms;3.88 ms;15.9 Mbit/s;20.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 10:44;11.52 Mbit/s;18.53 Mbit/s;2.26 ms;< 1 ms;6.77 Mbit/s;18.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/12/14 09:44;11.35 Mbit/s;22.07 Mbit/s;1.41 ms;1.89 ms;12.34 Mbit/s;22.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 08:44;11.88 Mbit/s;24.37 Mbit/s;10.04 ms;< 1 ms;13.0 Mbit/s;25.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 07:44;13.54 Mbit/s;19.6 Mbit/s;6.01 ms;1.83 ms;14.24 Mbit/s;19.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/12/14 06:44;11.23 Mbit/s;21.72 Mbit/s;2.08 ms;1.44 ms;9.09 Mbit/s;20.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/12/14 05:44;12.09 Mbit/s;22.32 Mbit/s;1.92 ms;1.53 ms;13.0 Mbit/s;23.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/12/14 04:44;13.64 Mbit/s;22.32 Mbit/s;1.92 ms;< 1 ms;12.4 Mbit/s;23.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/12/14 03:44;14.46 Mbit/s;22.89 Mbit/s;1.48 ms;< 1 ms;14.55 Mbit/s;23.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
