dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:44;26.5 Mbit/s;22.71 Mbit/s;6.06 ms;< 1 ms;22.8 Mbit/s;24.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:44;19.51 Mbit/s;27.88 Mbit/s;3.91 ms;2.34 ms;9.84 Mbit/s;29.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:44;25.32 Mbit/s;20.05 Mbit/s;< 1 ms;1.0 ms;12.4 Mbit/s;20.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 04:44;8.62 Mbit/s;23.59 Mbit/s;< 1 ms;< 1 ms;8.72 Mbit/s;24.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 03:44;16.7 Mbit/s;21.3 Mbit/s;2.81 ms;< 1 ms;7.59 Mbit/s;22.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:44;20.0 Mbit/s;20.72 Mbit/s;1.06 ms;2.06 ms;5.94 Mbit/s;21.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 01:44;7.51 Mbit/s;22.23 Mbit/s;4.18 ms;1.9 ms;7.48 Mbit/s;23.36 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
23/12/14 00:44;11.5 Mbit/s;26.12 Mbit/s;3.26 ms;< 1 ms;7.41 Mbit/s;26.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 23:44;9.6 Mbit/s;18.9 Mbit/s;< 1 ms;< 1 ms;7.04 Mbit/s;20.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:44;15.05 Mbit/s;27.56 Mbit/s;4.7 ms;< 1 ms;11.8 Mbit/s;27.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
