dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:17;25.64 Mbit/s;25.38 Mbit/s;< 1 ms;1.6 ms;25.29 Mbit/s;22.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:17;25.04 Mbit/s;24.36 Mbit/s;< 1 ms;1.63 ms;25.17 Mbit/s;21.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:17;25.25 Mbit/s;25.74 Mbit/s;< 1 ms;< 1 ms;25.5 Mbit/s;21.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:17;25.25 Mbit/s;25.71 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;22.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:17;25.49 Mbit/s;25.57 Mbit/s;< 1 ms;< 1 ms;25.59 Mbit/s;23.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:17;23.38 Mbit/s;21.3 Mbit/s;< 1 ms;10.22 ms;24.53 Mbit/s;22.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:17;25.66 Mbit/s;25.66 Mbit/s;< 1 ms;< 1 ms;25.75 Mbit/s;23.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:17;24.25 Mbit/s;24.9 Mbit/s;< 1 ms;8.26 ms;24.2 Mbit/s;23.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 23:17;13.95 Mbit/s;24.8 Mbit/s;< 1 ms;< 1 ms;15.41 Mbit/s;21.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:17;16.88 Mbit/s;25.45 Mbit/s;1.02 ms;2.2 ms;16.83 Mbit/s;21.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 21:17;16.43 Mbit/s;25.19 Mbit/s;< 1 ms;< 1 ms;17.5 Mbit/s;23.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 20:17;12.28 Mbit/s;22.61 Mbit/s;17.11 ms;39.87 ms;8.01 Mbit/s;21.6 Mbit/s;0.75 %;0.75 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:17;22.98 Mbit/s;25.07 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;22.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 18:17;20.98 Mbit/s;20.64 Mbit/s;< 1 ms;9.2 ms;23.2 Mbit/s;21.09 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 17:17;23.24 Mbit/s;22.29 Mbit/s;< 1 ms;< 1 ms;24.7 Mbit/s;23.49 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 16:18;21.42 Mbit/s;21.47 Mbit/s;< 1 ms;40.47 ms;23.54 Mbit/s;19.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:18;21.64 Mbit/s;19.72 Mbit/s;< 1 ms;4.44 ms;23.66 Mbit/s;19.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 14:18;23.1 Mbit/s;23.1 Mbit/s;28.61 ms;1.43 ms;24.7 Mbit/s;18.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 13:17;24.67 Mbit/s;19.16 Mbit/s;< 1 ms;5.06 ms;25.89 Mbit/s;18.47 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
