dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
30/12/14 00:10;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/12/14 23:10;22.29 Mbit/s;30.86 Mbit/s;< 1 ms;3.33 ms;24.01 Mbit/s;30.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 22:10;24.57 Mbit/s;35.2 Mbit/s;< 1 ms;1.12 ms;27.63 Mbit/s;29.18 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/12/14 21:11;17.3 Mbit/s;31.94 Mbit/s;7.26 ms;7.35 ms;16.93 Mbit/s;32.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/12/14 20:10;20.61 Mbit/s;30.16 Mbit/s;1.38 ms;5.59 ms;23.37 Mbit/s;28.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 19:10;26.7 Mbit/s;32.36 Mbit/s;7.74 ms;17.48 ms;30.24 Mbit/s;31.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/12/14 18:10;27.85 Mbit/s;31.27 Mbit/s;1.07 ms;1.15 ms;31.59 Mbit/s;25.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/12/14 17:10;25.72 Mbit/s;26.69 Mbit/s;1.36 ms;1.43 ms;29.43 Mbit/s;26.72 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/12/14 16:10;26.78 Mbit/s;26.85 Mbit/s;1.01 ms;< 1 ms;27.52 Mbit/s;27.65 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/12/14 15:10;20.76 Mbit/s;25.76 Mbit/s;24.13 ms;1.13 ms;23.43 Mbit/s;27.65 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/12/14 14:10;26.98 Mbit/s;26.83 Mbit/s;4.63 ms;4.63 ms;30.58 Mbit/s;24.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 13:10;23.88 Mbit/s;4.95 Mbit/s;21.22 ms;13.65 ms;27.37 Mbit/s;5.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/12/14 12:10;24.06 Mbit/s;33.74 Mbit/s;< 1 ms;< 1 ms;26.34 Mbit/s;30.82 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/12/14 11:10;28.17 Mbit/s;33.06 Mbit/s;< 1 ms;2.02 ms;32.0 Mbit/s;32.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/12/14 10:10;28.61 Mbit/s;29.48 Mbit/s;5.38 ms;10.31 ms;31.91 Mbit/s;29.44 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/12/14 09:10;26.06 Mbit/s;29.51 Mbit/s;< 1 ms;< 1 ms;29.34 Mbit/s;3.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/12/14 08:11;29.63 Mbit/s;31.99 Mbit/s;2.37 ms;1.78 ms;32.99 Mbit/s;32.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/12/14 07:10;27.53 Mbit/s;26.94 Mbit/s;< 1 ms;10.82 ms;31.42 Mbit/s;28.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
