dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:10;28.81 Mbit/s;32.59 Mbit/s;< 1 ms;1.28 ms;32.04 Mbit/s;33.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 06:10;24.06 Mbit/s;33.8 Mbit/s;1.68 ms;2.7 ms;26.5 Mbit/s;32.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:10;29.14 Mbit/s;34.42 Mbit/s;< 1 ms;< 1 ms;32.67 Mbit/s;32.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 04:10;29.91 Mbit/s;33.47 Mbit/s;< 1 ms;< 1 ms;33.15 Mbit/s;34.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 03:10;22.89 Mbit/s;34.1 Mbit/s;< 1 ms;< 1 ms;25.68 Mbit/s;26.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:10;18.24 Mbit/s;32.95 Mbit/s;< 1 ms;1.01 ms;20.2 Mbit/s;31.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 01:10;19.96 Mbit/s;30.77 Mbit/s;1.01 ms;5.53 ms;20.59 Mbit/s;29.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 00:10;18.27 Mbit/s;29.41 Mbit/s;1.04 ms;< 1 ms;20.4 Mbit/s;28.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 23:10;24.26 Mbit/s;30.57 Mbit/s;1.14 ms;< 1 ms;24.08 Mbit/s;22.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 22:10;26.3 Mbit/s;35.54 Mbit/s;< 1 ms;2.8 ms;29.9 Mbit/s;25.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 21:11;17.89 Mbit/s;28.45 Mbit/s;1.47 ms;8.77 ms;21.13 Mbit/s;23.47 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
