dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
25/12/14 23:31;18.61 Mbit/s;27.38 Mbit/s;< 1 ms;< 1 ms;20.58 Mbit/s;28.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 22:31;17.34 Mbit/s;26.02 Mbit/s;1.1 ms;1.44 ms;18.76 Mbit/s;27.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 21:31;25.37 Mbit/s;36.45 Mbit/s;1.07 ms;< 1 ms;22.38 Mbit/s;37.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 20:31;22.93 Mbit/s;30.34 Mbit/s;5.41 ms;5.86 ms;20.73 Mbit/s;31.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 19:31;23.07 Mbit/s;31.75 Mbit/s;4.35 ms;1.88 ms;24.8 Mbit/s;33.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 18:31;11.11 Mbit/s;30.81 Mbit/s;< 1 ms;< 1 ms;12.21 Mbit/s;31.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 17:31;22.02 Mbit/s;27.07 Mbit/s;5.36 ms;< 1 ms;19.78 Mbit/s;28.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/12/14 16:31;8.35 Mbit/s;28.85 Mbit/s;3.14 ms;3.04 ms;9.14 Mbit/s;29.01 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/12/14 15:31;23.68 Mbit/s;31.69 Mbit/s;2.91 ms;< 1 ms;26.07 Mbit/s;33.12 Mbit/s;1.35 %;1.35 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 14:31;24.65 Mbit/s;29.31 Mbit/s;< 1 ms;< 1 ms;26.39 Mbit/s;21.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/12/14 13:31;16.46 Mbit/s;26.89 Mbit/s;8.59 ms;< 1 ms;17.91 Mbit/s;27.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 12:31;25.6 Mbit/s;33.67 Mbit/s;3.14 ms;1.18 ms;27.88 Mbit/s;35.3 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 11:31;29.95 Mbit/s;33.75 Mbit/s;1.78 ms;< 1 ms;32.37 Mbit/s;36.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 10:31;30.9 Mbit/s;33.04 Mbit/s;< 1 ms;< 1 ms;33.38 Mbit/s;34.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/12/14 09:31;34.43 Mbit/s;31.79 Mbit/s;< 1 ms;< 1 ms;36.47 Mbit/s;32.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 08:31;31.88 Mbit/s;31.79 Mbit/s;< 1 ms;< 1 ms;35.04 Mbit/s;33.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 07:31;33.63 Mbit/s;37.94 Mbit/s;1.94 ms;< 1 ms;35.55 Mbit/s;39.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/12/14 06:31;34.22 Mbit/s;38.83 Mbit/s;1.09 ms;< 1 ms;31.21 Mbit/s;39.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/12/14 05:31;34.25 Mbit/s;37.65 Mbit/s;1.08 ms;3.39 ms;34.38 Mbit/s;39.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 04:31;33.12 Mbit/s;33.72 Mbit/s;1.93 ms;1.84 ms;36.47 Mbit/s;35.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 03:31;26.98 Mbit/s;30.56 Mbit/s;1.75 ms;< 1 ms;29.63 Mbit/s;32.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/12/14 02:31;24.7 Mbit/s;31.83 Mbit/s;< 1 ms;2.73 ms;27.22 Mbit/s;30.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 01:31;28.66 Mbit/s;37.26 Mbit/s;< 1 ms;1.25 ms;30.88 Mbit/s;38.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 00:31;23.13 Mbit/s;31.87 Mbit/s;< 1 ms;< 1 ms;25.08 Mbit/s;33.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 23:31;30.24 Mbit/s;27.99 Mbit/s;< 1 ms;< 1 ms;31.45 Mbit/s;28.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/12/14 22:31;22.59 Mbit/s;27.24 Mbit/s;1.91 ms;1.44 ms;24.85 Mbit/s;28.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/12/14 21:31;16.94 Mbit/s;13.97 Mbit/s;1.91 ms;< 1 ms;18.64 Mbit/s;14.78 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 20:31;23.96 Mbit/s;30.15 Mbit/s;1.36 ms;< 1 ms;24.0 Mbit/s;30.99 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
24/12/14 19:31;11.58 Mbit/s;21.26 Mbit/s;1.5 ms;3.6 ms;12.58 Mbit/s;21.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/12/14 18:31;18.63 Mbit/s;21.12 Mbit/s;3.61 ms;< 1 ms;20.06 Mbit/s;22.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/12/14 17:31;19.87 Mbit/s;22.74 Mbit/s;4.58 ms;1.05 ms;20.59 Mbit/s;23.7 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/12/14 16:31;17.76 Mbit/s;19.4 Mbit/s;1.26 ms;1.28 ms;17.45 Mbit/s;20.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/12/14 15:31;19.13 Mbit/s;23.93 Mbit/s;2.91 ms;< 1 ms;18.98 Mbit/s;24.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 14:31;18.38 Mbit/s;14.37 Mbit/s;1.96 ms;< 1 ms;16.12 Mbit/s;15.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 13:31;8.2 Mbit/s;16.94 Mbit/s;1.97 ms;1.02 ms;8.95 Mbit/s;17.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 12:31;18.48 Mbit/s;18.57 Mbit/s;< 1 ms;< 1 ms;12.29 Mbit/s;19.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 11:31;13.85 Mbit/s;19.93 Mbit/s;1.02 ms;3.84 ms;14.5 Mbit/s;21.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
