dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:31;10.91 Mbit/s;11.63 Mbit/s;1.18 ms;< 1 ms;10.64 Mbit/s;12.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 06:31;19.96 Mbit/s;26.94 Mbit/s;< 1 ms;3.71 ms;21.62 Mbit/s;26.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 05:31;18.48 Mbit/s;29.06 Mbit/s;1.82 ms;< 1 ms;20.44 Mbit/s;29.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 04:31;20.56 Mbit/s;31.99 Mbit/s;< 1 ms;< 1 ms;21.55 Mbit/s;33.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:31;17.8 Mbit/s;29.65 Mbit/s;1.24 ms;< 1 ms;19.1 Mbit/s;31.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:31;17.33 Mbit/s;26.83 Mbit/s;1.64 ms;< 1 ms;17.61 Mbit/s;28.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:31;15.95 Mbit/s;27.81 Mbit/s;1.16 ms;< 1 ms;16.21 Mbit/s;29.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 00:31;10.83 Mbit/s;19.74 Mbit/s;2.17 ms;< 1 ms;11.26 Mbit/s;19.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 23:31;14.14 Mbit/s;23.57 Mbit/s;1.65 ms;1.48 ms;10.44 Mbit/s;24.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 22:31;10.63 Mbit/s;24.15 Mbit/s;3.73 ms;< 1 ms;10.12 Mbit/s;24.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 21:31;1.19 Mbit/s;20.61 Mbit/s;1.92 ms;< 1 ms;1.29 Mbit/s;20.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 20:31;5.85 Mbit/s;16.58 Mbit/s;9.25 ms;2.56 ms;6.4 Mbit/s;16.21 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 19:31;16.26 Mbit/s;15.71 Mbit/s;15.83 ms;2.53 ms;16.7 Mbit/s;16.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 18:31;3.8 Mbit/s;15.26 Mbit/s;< 1 ms;< 1 ms;1.39 Mbit/s;16.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 17:31;13.42 Mbit/s;16.21 Mbit/s;2.06 ms;< 1 ms;14.43 Mbit/s;16.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 16:31;8.95 Mbit/s;10.98 Mbit/s;17.21 ms;2.25 ms;7.77 Mbit/s;11.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 15:31;12.0 Mbit/s;11.71 Mbit/s;27.86 ms;1.38 ms;12.44 Mbit/s;12.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 14:31;2.88 Mbit/s;3.13 Mbit/s;2.41 ms;5.35 ms;3.11 Mbit/s;3.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 13:31;16.56 Mbit/s;19.37 Mbit/s;1.46 ms;< 1 ms;6.37 Mbit/s;20.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 12:31;9.53 Mbit/s;15.96 Mbit/s;37.69 ms;< 1 ms;10.49 Mbit/s;16.17 Mbit/s;4.2 %;4.2 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 11:31;17.37 Mbit/s;24.76 Mbit/s;6.93 ms;< 1 ms;15.67 Mbit/s;26.07 Mbit/s;2.07 %;2.07 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 10:31;20.79 Mbit/s;22.2 Mbit/s;2.96 ms;< 1 ms;20.2 Mbit/s;23.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 09:31;3.35 Mbit/s;11.46 Mbit/s;15.41 ms;1.48 ms;3.59 Mbit/s;12.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 08:31;12.81 Mbit/s;24.85 Mbit/s;2.75 ms;< 1 ms;13.98 Mbit/s;25.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:45;1.38 ms;null;false;
;;;;;;;;;;23/12/14 06:45;9.32 ms;null;false;
;;;;;;;;;;23/12/14 05:45;4.07 ms;null;false;
;;;;;;;;;;23/12/14 04:45;5.12 ms;null;false;
;;;;;;;;;;23/12/14 03:45;2.72 ms;null;false;
;;;;;;;;;;23/12/14 02:45;2.98 ms;null;false;
;;;;;;;;;;23/12/14 01:45;2.09 ms;null;false;
;;;;;;;;;;23/12/14 00:45;6.84 ms;null;false;
;;;;;;;;;;22/12/14 23:45;2.08 ms;null;false;
;;;;;;;;;;22/12/14 22:45;1.89 ms;null;false;
;;;;;;;;;;22/12/14 21:45;18.88 ms;null;false;
;;;;;;;;;;22/12/14 20:45;7.04 ms;null;false;
;;;;;;;;;;22/12/14 19:45;3.3 ms;null;false;
;;;;;;;;;;22/12/14 18:45;458.26 ms;null;false;
;;;;;;;;;;22/12/14 17:45;27.02 ms;null;false;
;;;;;;;;;;22/12/14 16:45;81.98 ms;null;false;
;;;;;;;;;;22/12/14 15:45;7.61 ms;null;false;
;;;;;;;;;;22/12/14 14:45;6.84 ms;null;false;
;;;;;;;;;;22/12/14 13:45;3.98 ms;null;false;
;;;;;;;;;;22/12/14 12:45;25.01 ms;null;false;
;;;;;;;;;;22/12/14 11:45;13.17 ms;null;false;
;;;;;;;;;;22/12/14 10:45;12.56 ms;null;false;
;;;;;;;;;;22/12/14 09:45;31.46 ms;null;false;
;;;;;;;;;;22/12/14 08:45;15.54 ms;null;false;
